,gene function,organism,nador_2_counts,phylum,class,order,family,oualidia_2_counts,oualidia_1_counts,nador_1_counts
300,3-methyl-2-oxobutanoate hydroxymethyltransferase,Flavobacterium johnsoniae UW101,30.96,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,5.0,6.0,21.99
301,3-methyl-2-oxobutanoate hydroxymethyltransferase,Flavobacterium psychrophilum JIP02/86,4.06,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.74
319,3-oxoacid CoA-transferase subunit A,Robiginitalea biformata HTCC2501,5.72,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,3.0,4.9
387,30S ribosomal protein S1,Flavobacterium psychrophilum JIP02/86,4.96,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,,9.84
411,30S ribosomal protein S12,Maribacter sp. HTCC2170,1.62,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,
428,30S ribosomal protein S15,Flavobacterium johnsoniae UW101,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,0.0
433,30S ribosomal protein S17,Flavobacterium psychrophilum JIP02/86,2.44,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.29
439,30S ribosomal protein S18,Zunongwangia profunda SM-A87,4.98,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.65
452,30S ribosomal protein S3,Flavobacterium psychrophilum JIP02/86,3.25,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.68
474,30S ribosomal protein S7,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
477,30S ribosomal protein S8,Gramella forsetii KT0803,10.72,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,14.6
478,30S ribosomal protein S8,Polaribacter sp. MED152,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
490,4-amino-4-deoxychorismate lyase,Robiginitalea biformata HTCC2501,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
528,4-hydroxyphenylpyruvate dioxygenase,Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
529,4-hydroxyphenylpyruvate dioxygenase,Leeuwenhoekiella blandensis MED217,4.88,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,4.16
534,4-hydroxythreonine-4-phosphate dehydrogenase,Croceibacter atlanticus HTCC2559,5.65,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.89
538,4-hydroxythreonine-4-phosphate dehydrogenase,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.47
562,5''-nucleotidas,Capnocytophaga ochracea DSM 7271,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
599,50S ribosomal protein L11,Polaribacter sp. MED152,4.1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,2.46
611,50S ribosomal protein L15,Kordia algicida OT-1,4.12,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
612,50S ribosomal protein L15,Robiginitalea biformata HTCC2501,5.77,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.95
619,50S ribosomal protein L17,Gramella forsetii KT0803,7.35,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,4.94
661,50S ribosomal protein L29,Maribacter sp. HTCC2170,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,1.67
671,50S ribosomal protein L31 type B,Robiginitalea biformata HTCC2501,1.62,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
676,50S ribosomal protein L33,Robiginitalea biformata HTCC2501,6.72,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,8.21
680,50S ribosomal protein L35,Flavobacterium psychrophilum JIP02/86,1.63,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.66
681,50S ribosomal protein L35,Kordia algicida OT-1,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
682,50S ribosomal protein L35,Robiginitalea biformata HTCC2501,2.43,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,5.72
688,50S ribosomal protein L4,Flavobacterium psychrophilum JIP02/86,7.51,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
701,50S ribosomal protein L5,Polaribacter sp. MED152,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.83
709,50S ribosomal protein L7/L12,Gramella forsetii KT0803,3.41,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,0.0
712,50S ribosomal protein L7/L12,Zunongwangia profunda SM-A87,4.21,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,2.53
715,50S ribosomal protein L9,Gramella forsetii KT0803,7.23,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,9.74
731,6-pyruvoyl tetrahydrobiopterin synthase,Polaribacter sp. MED152,4.2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
741,8-amino-7-oxononanoate synthase,Maribacter sp. HTCC2170,4.98,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,6.0,4.0,6.57
745,A/G-specific adenine glycosylase,Flavobacterium psychrophilum JIP02/86,4.15,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.4
788,ABC transporte,Polaribacter sp. MED152,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.61
791,ABC transporte,Psychroflexus torquis ATCC 700755,5.75,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.95
818,ABC transporter,Psychroflexus torquis ATCC 700755,2.53,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,6.68
838,ABC transporter ATP-binding protein,Robiginitalea biformata HTCC2501,3.97,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,5.0,3.24
846,ABC transporter ATPase,Flavobacterium psychrophilum JIP02/86,13.04,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,3.0,
856,ABC transporter membrane fusion efflux protein,Flavobacterium psychrophilum JIP02/86,4.84,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,2.44
860,ABC transporter permease,Flavobacterium psychrophilum JIP02/86,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,0.0
876,ABC transporter related,Capnocytophaga ochracea DSM 7271,3.29,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,5.07
883,ABC transporter related,Flavobacterium johnsoniae UW101,5.18,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,5.0,4.0,7.29
939,ABC transporter-like protein,Psychroflexus torquis ATCC 700755,1.7,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.49
1062,ATP synthase subunit A,Robiginitalea biformata HTCC2501,22.38,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,25.56
1084,ATP-dependent Clp proteas,Croceibacter atlanticus HTCC2559,12.32,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,9.0,5.0,19.66
1102,ATP-dependent Clp protease adaptor protein,Zunongwangia profunda SM-A87,1.74,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,4.03
1139,ATP-dependent DNA helicase RecQ,Gramella forsetii KT0803,28.05,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,6.0,6.0,32.77
1145,ATP-dependent DNA helicase UvrD,Flavobacterium psychrophilum JIP02/86,9.05,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,4.0,6.67
1167,ATP-dependent exoDNAse subunit alpha,Maribacter sp. HTCC2170,5.85,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,9.78
1168,ATP-dependent helicase,Psychroflexus torquis ATCC 700755,1.71,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
1188,ATP-dependent protease ATP-binding subunit,Croceibacter atlanticus HTCC2559,13.88,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,1.0,
1190,ATP-dependent protease ATP-binding subunit,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,
1233,ATPase,Dokdonia donghaensis MED134,3.19,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,2.0,4.91
1294,AhpC/TSA family protein,Zunongwangia profunda SM-A87,5.67,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,4.07
1295,Alanine dehydrogenase,Polaribacter sp. MED152,1.6,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,
1316,Altronate dehydratase,Flavobacterium johnsoniae UW101,6.62,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
1334,Apolipoprotein N-acyltransferase,Flavobacteriaceae bacterium 3519-10,3.46,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.53
1343,Arylsulfatase B (Precursor),Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
1400,CAAX prenyl protease,Croceibacter atlanticus HTCC2559,2.52,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,3.24
1427,CMP-N-acetlyneuraminic acid synthetase,Maribacter sp. HTCC2170,2.52,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
1452,CRP family transcriptional regulator,Gramella forsetii KT0803,3.31,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,3.24
1466,CTP synthetase,Leeuwenhoekiella blandensis MED217,7.43,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,7.49
1469,CTP synthetase,Psychroflexus torquis ATCC 700755,9.09,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
1484,Carbonic anhydrase,Croceibacter atlanticus HTCC2559,1.51,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.61
1493,Cell division inhibitor,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
1494,Cell division protein ftsK,Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,0.0
1501,Chloride channel protein EriC,Polaribacter sp. MED152,4.01,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,5.57
1528,Crp family transcriptional regulator,Robiginitalea biformata HTCC2501,3.43,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.55
1529,CsaA protein,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
1532,Cys/Met metabolism lyase (PLP-dependent),Croceibacter atlanticus HTCC2559,1.73,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.48
1539,Cytochrome c oxidas,Croceibacter atlanticus HTCC2559,8.04,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,11.37
1559,D-alanyl-D-alanine carboxypeptidase,Robiginitalea biformata HTCC2501,4.22,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.23
1582,D-mannonate dehydratase,Zunongwangia profunda SM-A87,1.61,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.6
1610,DHH family protein,Polaribacter sp. MED152,2.55,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.67
1619,DNA binding helix-turn helix protein,Polaribacter sp. MED152,1.68,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.76
1635,DNA gyrase A subunit,Dokdonia donghaensis MED134,15.13,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,2.0,18.38
1672,DNA ligas,Polaribacter sp. MED152,1.65,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,1.61
1689,DNA mismatch repair protein,Polaribacter irgensii 23-P,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
1734,DNA polymerase II,Polaribacter sp. MED152,10.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
1747,DNA polymerase III alpha subunit,Polaribacter irgensii 23-P,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
1763,DNA polymerase III subunit epsilon,Maribacter sp. HTCC2170,1.61,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,1.63
1764,DNA polymerase III subunit gamma/tau,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
1797,DNA repair protein RadA,Capnocytophaga ochracea DSM 7271,4.18,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,4.89
1800,DNA repair protein RadA,Flavobacteriaceae bacterium 3519-10,3.31,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.59
1808,DNA repair protein RadC,Zunongwangia profunda SM-A87,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.65
1836,DNA topoisomerase I,Robiginitalea biformata HTCC2501,13.21,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,12.33
1904,DNA-directed RNA polymeras,Capnocytophaga sputigena ATCC 33612,1.66,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.69
1922,DNA-directed RNA polymerase alpha subunit,Croceibacter atlanticus HTCC2559,5.92,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,9.07
1926,DNA-directed RNA polymerase beta subunit,Polaribacter irgensii 23-P,8.29,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,10.73
1934,DNA-directed RNA polymerase subunit N,Psychroflexus torquis ATCC 700755,13.28,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,15.55
1987,DdaH family protein,Polaribacter irgensii 23-P,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
2006,Dihydrodipicolinate synthetase,Robiginitalea biformata HTCC2501,1.63,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,3.0,1.61
2018,DnaJ protein,Capnocytophaga gingivalis ATCC 33624,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2031,ElaA protein,Flavobacterium psychrophilum JIP02/86,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.21
2044,Enoyl-CoA hydratase,Dokdonia donghaensis MED134,6.46,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,1.0,10.01
2048,Enoyl-CoA hydratase/isomerase,Polaribacter irgensii 23-P,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,2.45
2049,Enoyl-CoA hydratase/isomerase,Psychroflexus torquis ATCC 700755,1.56,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,1.7
2107,FAD dependent oxidoreductase,Polaribacter sp. MED152,4.16,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
2121,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,Flavobacterium johnsoniae UW101,6.48,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,6.46
2186,FumC,Dokdonia donghaensis MED134,4.08,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.67
2229,GMP synthase,Capnocytophaga sputigena ATCC 33612,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2244,GTP cyclohydrolase I,Polaribacter irgensii 23-P,2.38,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,2.4
2255,GTP pyrophosphokinase,Leeuwenhoekiella blandensis MED217,5.03,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,7.18
2269,GTP-binding protein EngA,Leeuwenhoekiella blandensis MED217,4.09,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,3.0,4.94
2282,GTP-binding protein Era,Robiginitalea biformata HTCC2501,7.23,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,2.0,8.26
2286,GTP-binding protein HflX,Psychroflexus torquis ATCC 700755,2.5,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,3.2
2293,GTP-binding protein LepA,Maribacter sp. HTCC2170,20.2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,6.0,6.0,
2325,GTP-binding protein TypA/BipA,Capnocytophaga gingivalis ATCC 33624,4.81,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.1
2368,Glu/Leu/Phe/Val dehydrogenase family protein,Flavobacterium psychrophilum JIP02/86,5.95,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,4.0,6.0,6.7
2371,Glucosamine--fructose-6-phosphate aminotransferase (isomerizing),Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.62
2397,Glycogen phosphorylase,Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
2407,GrpE protein (Hsp-70 cofactor),Croceibacter atlanticus HTCC2559,2.57,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,
2437,Heat shock protein GrpE,Flavobacteriaceae bacterium 3519-10,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.69
2452,HflX-like GTP-binding protein,Zunongwangia profunda SM-A87,4.11,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,4.12
2458,HlyB/MsbA family ABC transporter,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2459,HlyD family secretion protein,Gramella forsetii KT0803,4.02,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,7.0,5.0,2.44
2471,Holliday junction resolvase,Flavobacterium johnsoniae UW101,8.09,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,,7.37
2477,Homogentisate,Polaribacter sp. MED152,10.1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,7.48
2502,Inorganic H+ pyrophosphatase,Kordia algicida OT-1,3.29,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,7.45
2547,L-asparaginase 1,Capnocytophaga sputigena ATCC 33612,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
2581,LSU ribosomal protein L15p (L27Ae),Flavobacteriaceae bacterium 3519-10,1.63,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2627,M28 family aminopeptidase,Gramella forsetii KT0803,7.42,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,2.0,13.97
2629,MATE efflux family protein,Croceibacter atlanticus HTCC2559,1.68,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,2.0,
2643,Magnesium chelatase subunit ChlI family protein,Maribacter sp. HTCC2170,8.2,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,6.73
2669,Membrane protease subunit stomatin/prohibitin-like protein,Maribacter sp. HTCC2170,8.45,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,8.36
2678,Methionyl-tRNA synthetase,Polaribacter sp. MED152,12.37,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,12.39
2696,MiaB-like tRNA modifying enzyme YliG,Polaribacter sp. MED152,2.6,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2701,Mn2+/Fe2+ transporte,Kordia algicida OT-1,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,0.0
2702,Mn2+/Fe2+ transporte,Leeuwenhoekiella blandensis MED217,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
2705,Molybdopterin-guanine dinucleotide biosynthesis protein A,Polaribacter sp. MED152,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2708,MotA/TolQ/ExbB proton channel,Flavobacterium johnsoniae UW101,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2711,MotA/TolQ/ExbB proton channel family protein,Croceibacter atlanticus HTCC2559,16.34,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,4.0,12.73
2716,MoxR-like AAA family ATPase,Zunongwangia profunda SM-A87,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
2733,N- acetylglucosaminylphosphatidylinositoldeacetylase,Polaribacter sp. MED152,2.51,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,2.0,
2803,NAD(+) synthase,Psychroflexus torquis ATCC 700755,1.68,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.62
2856,NAD-dependent epimerase/dehydratase,Flavobacterium johnsoniae UW101,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,1.68
2954,NADH-ubiquinone oxidoreductase,Psychroflexus torquis ATCC 700755,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.69
2966,NADH:ubiquinone oxidoreductas,Capnocytophaga gingivalis ATCC 33624,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.71
2970,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,Zunongwangia profunda SM-A87,8.16,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,2.0,1.0,14.82
2984,NUDIX family hydrolase,Gramella forsetii KT0803,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
3038,NorM-like multidrug efflux protein,Flavobacteriaceae bacterium 3519-10,1.65,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
3039,NorM-like multidrug efflux protein,Gramella forsetii KT0803,8.96,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,5.0,5.0,8.21
