function,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)",63,59,37,35
"2,4-diketo-3-deoxy-L-fuconate hydrolase",16,20,4,5
"2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)",1,1,2,1
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)",87,89,29,24
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60),123,107,28,17
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55),406,382,150,120
"2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, cytochrome c",0,0,1,1
2-Methylcitrate dehydratase AcnD,10,8,14,17
2-Oxobutyrate dehydrogenase E1 (EC:1.2.4.1),7,5,11,10
"2-Oxobutyrate oxidase, putative",1,1,1,1
2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase alpha subunit (EC 1.1.1.35),0,0,1,0
"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)",1,1,0,0
2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45),3,2,3,3
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),301,262,100,91
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3),76,68,14,16
2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37),8,9,2,2
2-aminomuconate deaminase (EC 3.5.99.5),13,15,5,4
2-aminomuconate semialdehyde dehydrogenase (EC 1.2.1.32),3,4,3,2
"2-cys peroxiredoxin BAS1, chloroplast precursor",0,0,1,0
2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58),29,19,1,1
2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20),9,6,2,0
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45),39,36,16,15
2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21),39,32,2,2
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),109,97,11,11
2-dehydropantoate 2-reductase (EC 1.1.1.169),99,90,15,11
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125),28,22,15,14
2-deoxyglucose-6-phosphate hydrolase YniC,0,0,2,1
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase BchC,70,57,16,10
2-haloalkanoic acid dehalogenase (EC 3.8.1.2),37,28,7,7
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,5,5,0,0
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60),280,279,109,102
"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)",82,77,15,13
2-hydroxychromene-2-carboxylate isomerase,144,133,30,29
"2-hydroxychromene-2-carboxylate isomerase family protein, glutathione-dependent",16,13,3,2
2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain,16,10,8,4
2-hydroxycyclohexanecarboxyl-CoA dehydrogenase (EC 1.1.1.-),9,6,3,3
"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)",27,27,15,9
2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9),7,7,4,0
"2-hydroxypenta-2,4-dienoate hydratase",1,1,0,0
2-isopropylmalate synthase (EC 2.3.3.13),732,716,278,244
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54),166,153,50,53
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54),106,99,22,20
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54),266,273,144,131
2-keto-3-deoxy-L-fuconate dehydrogenase,115,108,20,18
2-keto-4-pentenoate hydratase (EC 4.2.1.-),25,23,7,6
"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",22,22,11,10
"2-ketoaldonate reductase, broad specificity (EC 1.1.1.215) (EC 1.1.1.-)",1,1,0,0
2-ketogluconate 6-phosphate reductase (EC 1.1.1.43),0,1,0,0
2-ketogluconate utilization repressor PtxS,1,1,0,1
2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26),19,17,1,1
"2-methyl-6-phytyl-1,4-benzoquinone cyclase",0,0,1,1
"2-methyl-6-phytyl-1,4-benzoquinone methyltransferase",8,10,2,3
"2-methyl-6-solanyl-1,4-benzoquinone methyltransferase",38,34,1,1
2-methylaconitate racemase,26,29,7,8
2-methylcitrate dehydratase (EC 4.2.1.79),189,201,46,50
2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79),10,8,15,20
2-methylcitrate synthase (EC 2.3.3.5),158,160,61,64
2-methylisocitrate dehydratase (EC 4.2.1.99),96,107,78,64
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",138,126,40,37
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-),113,104,19,16
"2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)",34,27,4,5
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),1041,1014,402,393
2-oxoglutarate/malate translocator,2,2,1,1
2-phosphosulfolactate phosphatase (EC 3.1.3.71),19,16,1,0
2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases,1,4,4,4
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9),98,86,14,12
2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-),36,37,11,8
21 kDa hemolysin precursor,8,7,1,1
23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-),61,50,21,18
23S rRNA (guanine-N-2-) -methyltransferase rlmG (EC 2.1.1.-),1,1,1,1
23S rRNA (guanine-N-2-) -methyltransferase rlmL EC 2.1.1.-),37,38,16,19
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-),190,171,51,48
23S rRNA N-6-methyltransferase ErmCX,0,0,0,1
"3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)",139,128,27,24
"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)",28,22,7,4
"3'-phosphatase, 5'-polynucleotide kinase, phage-associated",4,1,2,1
3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC,13,12,2,2
3'-to-5' exoribonuclease RNase R,466,432,118,110
3'-to-5' oligoribonuclease (orn),76,68,34,29
"3,4-dihydroxy-2-butanone 4-phosphate synthase",251,232,89,73
"3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase (EC 2.1.1.114)",0,0,1,0
"3,4-dihydroxyphenylacetate 2,3-dioxygenase",21,15,5,5
"3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)",1,4,0,1
"3,5-diaminobexanoate dehydrogenase (EC 1.4.1.11)",0,0,2,2
3-(3-hydroxy-phenyl)propionate hydroxylase (EC 1.14.13.-),8,8,2,1
3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III FABH (BETA-KETOACYL-ACP SYNTHASE III) (KAS III),3,1,8,8
3-beta hydroxysteroid dehydrogenase/isomerase family protein in hypothetical gene cluster,12,7,1,2
"3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)",29,23,2,0
3-dehydroquinate dehydratase I (EC 4.2.1.10),0,1,0,0
3-dehydroquinate dehydratase II (EC 4.2.1.10),185,167,50,41
3-dehydroquinate synthase (EC 4.2.3.4),308,288,137,124
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64),283,237,53,46
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45),56,64,18,16
3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-),1,0,0,0
3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-),108,91,30,26
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38),270,222,58,56
3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase,32,23,8,7
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35),410,394,134,126
3-hydroxyacyl-CoA dehydrogenase PaaC (EC 1.1.1.-),11,9,11,9
3-hydroxyacyl-CoA dehydrogenase [isoleucine degradation] (EC 1.1.1.35),16,10,5,4
"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)",30,28,5,5
3-hydroxybutyrate dehydrogenase (EC 1.1.1.30),1,1,0,0
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55),13,15,13,13
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157),163,133,38,34
3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3),152,141,45,45
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60),179,156,72,83
3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31),224,201,32,38
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4),51,51,10,11
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33),667,630,260,258
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33),284,274,85,78
3-isopropylmalate dehydrogenase (EC 1.1.1.85),522,488,212,207
3-keto-5-aminohexanoate cleavage enzyme,2,2,1,0
3-keto-L-gulonate 6-phosphate decarboxylase homolog,1,1,0,0
3-ketoacyl-CoA thiolase (EC 2.3.1.16),247,226,94,84
3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16),17,14,4,3
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11),344,324,96,91
3-oxoacyl-[ACP] reductase (EC 1.1.1.100),2,0,0,0
3-oxoacyl-[ACP] synthase,3,2,3,4
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),557,552,178,164
"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",320,326,139,124
"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)",459,422,181,157
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)",485,487,146,126
"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII in hypothetical gene cluster",6,4,6,2
3-oxoacyl-coenzyme A reductase of elongase (EC 1.1.1.62),0,0,1,0
3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6),17,15,5,3
3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6),22,21,6,8
3-oxoadipate enol-lactone hydrolase,1,0,0,0
3-phenylpropionate dioxygenase ferredoxin subunit,3,2,0,0
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-),125,115,29,32
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-),49,48,10,13
4'-phosphopantetheinyl transferase (EC 2.7.8.-),1,4,0,0
"4'-phosphopantetheinyl transferase (EC 2.7.8.-), inferred for PFA pathway",1,0,0,0
4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7),0,0,1,1
"4,4'-diapolycopene oxidase",22,20,3,5
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25),69,64,9,8
4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family,159,137,2,1
"4-amino-4-deoxychorismate synthase, amidotransferase component , aminase component (EC 2.6.1.-)",1,1,1,0
4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase,5,5,2,3
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19),36,27,34,27
4-carboxymuconolactone decarboxylase (EC 4.1.1.44),34,38,11,11
4-coumarate--CoA ligase 1 (EC 6.2.1.12),5,5,8,6
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17),9,8,8,11
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148),122,111,30,26
4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.-),44,26,3,2
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2),419,361,160,127
4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-),201,186,42,46
4-hydroxybenzoate transporter,2,0,0,0
"4-hydroxybenzoyl-CoA reductase, gamma subunit (EC 1.3.99.20)",1,1,1,2
4-hydroxybenzoyl-CoA thioesterase family active site,100,89,26,21
4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3),50,41,4,5
"4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)",0,0,1,0
4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27),215,190,38,32
4-hydroxyproline epimerase (EC 5.1.1.8),16,14,10,15
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),256,240,59,55
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,44,43,23,21
4-oxalocrotonate decarboxylase (EC 4.1.1.77),16,14,3,4
4-oxalocrotonate tautomerase (EC 5.3.2.-),1,0,2,2
4-pyridoxolactonase (EC 3.1.1.27),0,0,1,0
"4Fe-4S ferredoxin, iron-sulfur binding",187,179,82,62
5'-methylthioadenosine nucleosidase (EC 3.2.2.16),14,15,4,4
5'-methylthioadenosine phosphorylase (EC 2.4.2.28),136,131,53,53
5'-nucleotidase (EC 3.1.3.5),193,157,36,31
5'-nucleotidase YjjG (EC 3.1.3.5),13,14,0,1
"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)",313,281,97,90
"5,6-dimethylbenzimidazole synthase, flavin destructase family",3,3,0,0
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19),406,373,105,105
5-FCL-like protein,1,0,0,0
5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193),243,230,60,60
5-aminolevulinate synthase (EC 2.3.1.37),258,236,116,127
5-aminopentanamidase (EC 3.5.1.30),2,5,5,3
5-aminovalerate aminotransferase (EC 2.6.1.48),0,1,1,1
5-carboxymethyl uridine and 5-carboxymethyl 2-thiouridine methyltransferase,0,0,1,1
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10),21,29,5,7
5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60),81,74,32,36
"5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)",18,19,5,5
5-deoxy-glucuronate isomerase (EC 5.3.1.-),90,85,11,13
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),105,100,24,22
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase (EC 4.1.2.29),28,27,8,3
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase [form 2] (EC 4.1.2.29),2,3,6,7
5-keto-2-deoxygluconokinase (EC 2.7.1.92),87,84,16,11
5-keto-D-gluconate 5-reductase (EC 1.1.1.69),21,18,4,4
5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-),32,28,13,14
5-methylaminomethyl-2-thiouridine-forming enzyme mnmC,17,7,2,2
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13),606,543,322,283
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14),26,26,50,52
5-methylthioribose kinase (EC 2.7.1.100),7,6,3,2
5-nucleotidase SurE (EC 3.1.3.5),107,109,28,27
"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase.",3,3,3,2
5-oxoprolinase (EC 3.5.2.9),180,151,37,36
50S ribosomal protein acetyltransferase,13,9,1,4
50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF),39,28,7,9
5S rRNA,0,0,1,0
"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)",147,128,78,77
6-phospho-beta-glucosidase (EC 3.2.1.86),0,0,1,1
6-phosphofructokinase (EC 2.7.1.11),233,221,86,59
6-phosphofructokinase class II (EC 2.7.1.11),0,0,1,0
"6-phosphofructokinase, eukaryotic type (EC 2.7.1.11)",1,1,1,1
"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",178,166,68,60
6-phosphogluconolactonase (EC 3.1.1.31),17,12,12,7
"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type",31,35,5,3
6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12),74,67,13,8
60S ribosome subunit biogenesis protein NIP7,0,0,1,1
"7,8 dihydropteroate synthase (methanopterin)",4,3,0,0
"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1",38,37,4,2
"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2",31,35,4,3
8-amino-7-oxononanoate synthase (EC 2.3.1.47),68,65,41,37
A/G-specific adenine glycosylase (EC 3.2.2.-),285,243,63,52
AA3-600 quinol oxidase subunit I,2,2,0,0
"ABC alpha-glucoside transporter, inner membrane subunit AglF",45,36,11,9
"ABC exporter for hemopore HasA, ATP-binding component HasD",1,2,2,1
"ABC transport system, sugar-binding protein",11,11,2,2
"ABC transporter (iron.B12.siderophore.hemin) , ATP-binding component",3,3,2,3
"ABC transporter (iron.B12.siderophore.hemin) , periplasmic substrate-binding component",0,0,1,0
"ABC transporter (iron.B12.siderophore.hemin) , permease component",2,0,0,0
ABC transporter ATP-binding protein USSDB6B,3,2,2,2
ABC transporter ATP-binding protein uup,5,9,10,9
"ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA",30,28,7,7
"ABC transporter involved in cytochrome c biogenesis, CcmB subunit",41,42,8,11
"ABC transporter multidrug efflux pump, fused ATP-binding domains",4,4,0,0
"ABC transporter, ATP-binding protein EcsA",1,1,0,0
"ABC transporter, ATP-binding protein YnjD",5,4,2,2
"ABC transporter, ATP-binding protein in BtlB locus",1,1,0,0
"ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)",52,41,22,22
"ABC transporter, periplasmic substrate-binding protein YnjB",8,6,8,8
"ABC transporter, permease protein YnjC",9,7,6,5
"ABC transporter, transmembrane region:ABC transporter:Peptidase C39, bacteriocin processing",19,22,9,8
ABC-type Fe3+ transport system protein,30,32,7,8
ABC-type Fe3+-siderophore transport system permease component,2,1,1,0
"ABC-type Fe3+-siderophore transport system, ATPase component",1,0,0,0
"ABC-type Fe3+-siderophore transport system, permease component",9,8,0,0
"ABC-type hemin transport system, ATPase component",5,1,5,5
"ABC-type multidrug transport system, ATPase component",239,206,74,67
"ABC-type multidrug transport system, permease component",127,119,59,52
"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component",23,16,7,6
"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component",6,6,5,3
"ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components",8,6,4,3
"ABC-type polar amino acid transport system, ATPase component",83,68,58,35
"ABC-type probable sulfate transporter, ATPase component",0,2,0,0
"ABC-type protease exporter, ATP-binding component PrtD/AprD",8,6,2,2
"ABC-type protease exporter, membrane fusion protein (MFP) family component PrtE/AprE",1,2,3,1
"ABC-type spermidine/putrescine transport systems, ATPase components",33,26,9,10
"ABC-type sugar transport system, periplasmic binding protein YcjN",8,7,1,1
"ABC-type sugar transport system, permease component",63,51,9,11
"ABC-type transport system involved in resistance to organic solvents, permease component USSDB6A",5,3,2,2
"ABC-type tungstate transport system, ATP-binding protein",20,14,5,3
"ABC-type tungstate transport system, periplasmic binding protein",85,67,17,18
"ABC-type tungstate transport system, permease protein",26,28,9,9
ACT domain protein,0,0,1,3
ADA regulatory protein,17,10,6,7
ADP compounds hydrolase NudE (EC 3.6.1.-),1,1,1,2
ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20),53,45,9,8
ADP-heptose synthase (EC 2.7.-.-),53,58,29,23
ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-),33,30,24,25
"ADP-ribose 1""-phosphate phophatase",1,1,0,0
ADP-ribose pyrophosphatase (EC 3.6.1.13),38,38,11,10
"ADP-ribose pyrophosphatase, mitochondrial precursor (EC 3.6.1.13)",3,3,0,0
ADP-ribosylglycohydrolase YegU (EC 3.2.-.-),0,0,2,2
AMP nucleosidase (EC 3.2.2.4),82,89,20,17
AMP phosphohydrolase,0,0,1,1
AMP/CMP kinase AK6,0,1,1,3
ATP phosphoribosyltransferase (EC 2.4.2.17),129,127,62,58
ATP phosphoribosyltransferase catalytic subunit (EC 2.4.2.17),200,188,45,43
ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17),190,167,30,24
ATP synthase A chain (EC 3.6.3.14),370,337,165,159
ATP synthase B chain (EC 3.6.3.14),204,187,63,60
ATP synthase B' chain (EC 3.6.3.14),102,102,20,18
ATP synthase C chain (EC 3.6.3.14),168,166,93,72
ATP synthase alpha chain (EC 3.6.3.14),893,846,497,459
ATP synthase beta chain (EC 3.6.3.14),814,754,342,336
ATP synthase delta chain (EC 3.6.3.14),144,137,23,19
ATP synthase epsilon chain (EC 3.6.3.14),128,123,33,21
ATP synthase gamma chain (EC 3.6.3.14),424,382,144,136
ATP synthase protein I,16,15,4,3
ATP-binding protein ManX,29,26,3,2
ATP-binding protein PhnN,1,1,0,0
ATP-dependent Clp protease ATP-binding subunit ClpA,642,609,333,312
ATP-dependent Clp protease ATP-binding subunit ClpX,692,647,297,259
ATP-dependent Clp protease adaptor protein ClpS,102,74,10,11
ATP-dependent Clp protease adaptor protein ClpS Cyano2,1,1,0,0
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),517,467,191,181
"ATP-dependent Clp protease, ATP-binding subunit ClpC",360,331,244,210
ATP-dependent DNA helicase RecG (EC 3.6.1.-),611,561,197,171
ATP-dependent DNA helicase RecQ,387,351,75,80
ATP-dependent DNA helicase Rep,26,19,23,27
ATP-dependent DNA helicase SCO5183,3,1,0,0
ATP-dependent DNA helicase SCO5184,9,4,16,17
ATP-dependent DNA helicase UvrD/PcrA,961,919,296,275
"ATP-dependent DNA helicase UvrD/PcrA, clostridial paralog",0,0,1,1
ATP-dependent DNA helicase UvrD/PcrA/Rep,0,1,0,0
ATP-dependent DNA helicase pcrA (EC 3.6.1.-),21,20,8,7
"ATP-dependent DNA helicase, RecQ family",30,23,34,33
ATP-dependent DNA ligase (EC 6.5.1.1),45,36,8,8
ATP-dependent DNA ligase (EC 6.5.1.1) LigC,92,71,20,17
ATP-dependent RNA helicase Atu1833,75,72,13,12
ATP-dependent RNA helicase BA2475,2,2,1,1
ATP-dependent RNA helicase Bcep18194_A5658,3,5,5,4
ATP-dependent RNA helicase DbpA,14,12,24,21
ATP-dependent RNA helicase NGO0650,20,17,5,2
ATP-dependent RNA helicase PA3950,0,0,2,2
ATP-dependent RNA helicase RhlB,60,51,25,26
ATP-dependent RNA helicase RhlE,211,204,93,86
ATP-dependent RNA helicase SrmB,0,0,8,7
ATP-dependent RNA helicase VC1407,0,1,1,1
ATP-dependent RNA helicase VCA0061,0,0,2,2
ATP-dependent RNA helicase VCA0768,1,1,1,2
ATP-dependent RNA helicase VCA0990,1,2,7,1
ATP-dependent RNA helicase VF1437,0,0,4,1
ATP-dependent RNA helicase VVA0939,1,0,1,1
ATP-dependent RNA helicase YfmL,0,0,1,1
ATP-dependent RNA helicase YqfR,3,2,2,2
ATP-dependent RNA helicase YxiN,2,3,0,0
ATP-dependent helicase DinG/Rad3,47,28,6,4
"ATP-dependent helicase, DEAD/DEAH box family, associated with Flp pilus assembly",76,73,14,13
ATP-dependent hsl protease ATP-binding subunit HslU,367,342,186,161
