level2,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
Protein processing and modification,3073,2871,1234,1135
"Protein secretion system, Type I",42,44,16,16
"Protein secretion system, Type II",715,689,232,192
"Protein secretion system, Type III",7,9,5,5
"Protein secretion system, Type V",5,7,1,2
"Protein secretion system, Type VI",37,26,32,31
"Protein secretion system, Type VII (Chaperone/Usher pathway, CU)",0,0,1,1
"Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)",136,145,44,34
Protein translocation across cytoplasmic membrane,3708,3377,1333,1182
Proteolytic pathway,7,6,19,19
Purines,8011,7471,2755,2519
Putative GGDEF domain protein related to agglutinin secretion,26,31,21,16
Putative Isoquinoline 1-oxidoreductase subunit,75,66,22,21
Putative asociate of RNA polymerase sigma-54 factor rpoN,226,224,63,60
"Putrescine/GABA utilization cluster-temporal,to add to SSs",296,284,106,106
Pyridoxine,1349,1275,482,466
Pyrimidines,2381,2133,855,746
Pyruvate kinase associated cluster,51,55,6,10
Quinone cofactors,1507,1331,406,366
Quorum sensing and biofilm formation,716,676,268,249
RNA processing and modification,10530,9686,3264,3034
Recombination related cluster,191,182,26,24
Regulation of virulence,872,803,267,231
Resistance to antibiotics and toxic compounds,6711,6124,2114,1912
Reverse electron transport,0,0,1,0
"Riboflavin, FMN, FAD",1140,1028,341,318
Ribosomal Protein L28P relates to a set of uncharacterized proteins,11,11,7,6
Selenoproteins,605,536,210,202
Shiga toxin cluster,720,702,342,320
Siderophores,53,38,26,19
Signal transduction in Eukaryotes,0,1,2,3
Social motility and nonflagellar swimming in bacteria,2,2,0,0
Sodium Ion-Coupled Energetics,52,46,18,14
"Sugar Phosphotransferase Systems, PTS",25,25,15,13
Sugar alcohols,1937,1805,534,463
Sulfatases and sulfatase modifying factor 1 (and a hypothetical),313,282,79,60
Tetrapyrroles,6899,6301,1586,1550
Three hypotheticals linked to lipoprotein biosynthesis,101,88,9,8
TldD cluster,36,28,33,25
Toxins and superantigens,7,8,1,1
Transcription,6076,5709,2508,2265
Translation,286,259,157,125
Transposable elements,297,267,146,121
Triacylglycerols,18,10,15,10
Tricarboxylate transporter,1633,1546,843,754
Two related proteases,213,199,93,89
Uni- Sym- and Antiporters,459,419,175,146
alpha-proteobacterial cluster of hypotheticals,153,128,28,18
proteosome related,52,42,35,37
recX and regulatory cluster,0,0,2,2
tRNA sulfuration,174,154,45,46
