level3,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
At5g63420,977,916,395,369
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon),6,4,4,5
Auxin_biosynthesis,305,280,100,101
Auxin_degradation,327,295,126,114
Bacillibactin_Siderophore,1,0,0,0
Bacillus_biofilm_matrix_protein_component_TasA_and_homologs,0,2,0,0
Bacilysin_biosynthesis,0,0,1,1
Bacitracin_Stress_Response,1,0,1,0
Bacterial_Caspases,1,1,0,0
Bacterial_Cell_Division,2105,1964,729,656
Bacterial_Chemotaxis,165,176,98,86
Bacterial_Cytoskeleton,1716,1601,533,476
Bacterial_RNA-metabolizing_Zn-dependent_hydrolases,1480,1429,563,508
Bacterial_cyanide_production_and_tolerance_mechanisms,269,225,110,103
Bacterial_hemoglobins,19,20,52,45
Bacterial_light-harvesting_proteins,38,35,8,7
Bacteriophage_P4_cluster,3,2,0,0
Bacteriorhodopsin,30,24,2,5
BarA-UvrY(SirA)_two-component_regulatory_system,721,664,224,187
Benzoate_catabolism,255,237,46,41
Benzoate_degradation,25,25,10,8
Benzoate_transport_and_degradation_cluster,252,246,45,42
Beta-Glucoside_Metabolism,392,359,139,119
Beta-lactamase,460,398,80,61
Beta-lactamase_cluster_in_Streptococcus,0,0,1,0
Betaine_biosynthesis_from_glycine,10,13,0,0
Biflavanoid_biosynthesis,14,11,3,4
Bile_hydrolysis,12,10,0,0
Bilin_Biosynthesis,334,306,5,4
Biofilm_Adhesin_Biosynthesis,2,0,1,0
Biofilm_formation_in_Staphylococcus,19,17,1,1
Biogenesis_of_c-type_cytochromes,1102,1022,341,315
Biogenesis_of_cbb3-type_cytochrome_c_oxidases,21,17,19,10
Biogenesis_of_cytochrome_c_oxidases,408,377,86,75
Biotin_biosynthesis,309,280,75,78
Biotin_biosynthesis_Experimental,156,138,69,64
Biphenyl_Degradation,141,135,24,28
BlaR1_Family_Regulatory_Sensor-transducer_Disambiguation,16,9,13,7
Branched-Chain_Amino_Acid_Biosynthesis,3450,3297,1169,1088
Branched_chain_amino_acid_degradation_regulons,1661,1630,439,415
Broadly_distributed_proteins_not_in_subsystems,268,264,96,91
Butanol_Biosynthesis,6,4,17,17
Butyrate_metabolism_cluster,1610,1530,452,412
CBSS-138119.3.peg.2719,1391,1311,494,467
CBSS-159087.4.peg.2189,0,0,0,1
CBSS-160492.1.peg.550,306,281,97,92
CBSS-176279.3.peg.1262,0,0,2,2
CBSS-176279.3.peg.868,161,156,68,63
CBSS-176280.1.peg.1561,333,309,94,75
CBSS-176299.4.peg.1292,660,639,195,167
CBSS-176299.4.peg.1996A,339,299,82,65
CBSS-176299.4.peg.1996B,1096,986,390,357
CBSS-188.1.peg.9880,101,88,9,8
CBSS-193567.1.peg.90,2,2,4,5
CBSS-194948.1.peg.143,720,702,342,320
CBSS-196164.1.peg.1690,662,607,206,183
CBSS-196164.1.peg.461,20,20,32,30
CBSS-196620.1.peg.2477,571,519,230,212
CBSS-198094.1.peg.4426,191,182,26,24
CBSS-203122.12.peg.188,294,265,134,112
CBSS-211586.1.peg.3133,315,291,89,67
CBSS-214092.1.peg.3450,0,2,1,1
CBSS-216592.1.peg.3534,0,0,2,2
CBSS-222523.1.peg.1311,379,339,156,148
CBSS-224911.1.peg.435,384,372,96,88
CBSS-228410.1.peg.134,228,206,51,42
CBSS-235.1.peg.567,945,862,403,375
CBSS-243277.1.peg.4359,23,17,8,8
CBSS-246196.1.peg.364,36,35,11,10
CBSS-251221.1.peg.1863,369,322,56,53
CBSS-257314.1.peg.488,1108,1040,373,356
CBSS-257314.1.peg.676,213,199,93,89
CBSS-257314.1.peg.752,40,33,34,28
CBSS-258594.1.peg.3339,1130,990,319,293
CBSS-261594.1.peg.788,0,0,2,2
CBSS-262316.1.peg.2929,8,5,5,7
CBSS-262719.3.peg.410,19,15,7,6
CBSS-265072.7.peg.546,94,99,12,10
CBSS-269799.3.peg.2220,554,495,128,112
CBSS-269801.1.peg.1715,307,300,76,73
CBSS-269801.1.peg.2186,49,41,3,4
CBSS-280355.3.peg.2835,716,665,201,195
CBSS-288000.5.peg.1793,51,55,6,10
CBSS-290633.1.peg.1906,1,1,2,2
CBSS-291331.3.peg.3674,52,40,22,27
CBSS-292415.3.peg.2341,4,5,0,1
CBSS-296591.1.peg.2330,769,697,212,184
CBSS-306254.1.peg.1508,492,464,181,178
CBSS-312309.3.peg.1965,682,599,170,162
CBSS-314267.3.peg.390,75,66,22,21
CBSS-314269.3.peg.1840,160,151,36,48
CBSS-316057.3.peg.1308,226,224,63,60
CBSS-316057.3.peg.3521,134,143,48,48
CBSS-316057.3.peg.563,858,771,334,299
CBSS-316057.3.peg.659,241,228,62,50
CBSS-316273.3.peg.227,2,1,4,3
CBSS-316273.3.peg.2378,43,42,18,15
CBSS-316273.3.peg.2709,59,51,27,34
CBSS-316273.3.peg.448,20,17,8,7
CBSS-316273.3.peg.922,20,25,8,7
CBSS-316279.3.peg.746,34,36,0,0
CBSS-316407.3.peg.1371,164,131,28,22
CBSS-316407.3.peg.2816,16,9,7,6
CBSS-320372.3.peg.6046,27,26,4,2
CBSS-323097.3.peg.2594,296,273,75,62
CBSS-323098.3.peg.2823,61,54,7,7
CBSS-323850.3.peg.3142,3,2,7,5
CBSS-323850.3.peg.3269,110,95,42,41
CBSS-323850.3.peg.3284,26,31,21,16
CBSS-326442.4.peg.1852,286,259,157,125
CBSS-342610.3.peg.1536,440,435,110,111
CBSS-342610.3.peg.1794,2,3,0,0
CBSS-342610.3.peg.283,72,76,23,20
CBSS-344610.3.peg.2335,166,149,56,59
CBSS-350688.3.peg.1509,2009,1862,710,632
CBSS-354.1.peg.2917,36,28,33,25
CBSS-376686.6.peg.291,581,509,112,101
CBSS-393121.3.peg.1913,616,568,196,181
CBSS-393121.3.peg.2760,682,610,188,177
CBSS-393124.3.peg.2657,89,67,32,31
CBSS-393130.3.peg.794,340,307,121,113
CBSS-393131.3.peg.612,20,19,42,37
CBSS-49338.1.peg.459,1633,1546,843,754
CBSS-52598.3.peg.2843,153,128,28,18
CBSS-562.2.peg.5158_SK3_including,2,3,2,1
CBSS-56780.10.peg.1536,646,621,163,160
CBSS-630.2.peg.3360,2,0,4,3
CBSS-83331.1.peg.3039,1439,1398,499,433
CBSS-83332.1.peg.3803,5,4,1,1
CBSS-83333.1.peg.946,30,17,3,4
CBSS-84588.1.peg.1247,35,29,0,0
CBSS-87626.3.peg.3639,113,104,21,17
CBSS-89187.3.peg.2957,174,154,45,46
"CO2_uptake,_carboxysome",345,310,120,115
COG0277,100,81,30,27
COG0398,278,257,90,85
COG0451,546,508,171,148
COG0523,1658,1539,583,510
COG1399,1424,1355,468,429
COG1565,535,512,164,142
COG1836,677,619,161,134
COG2078,13,6,3,5
COG2302,57,56,6,5
COG2363,445,412,192,192
COG2509,143,141,30,24
COG3146_experimental,372,328,70,62
COG3380_COG2907,892,826,203,190
COG3533,569,518,109,101
COG3760,66,60,18,14
COG4319,217,204,82,79
CO_Dehydrogenase,599,551,233,201
CRISPRs,9,7,6,5
CRISP_Cmr_Cluster,0,0,0,1
CTP_synthase_(EC_6.3.4.2)_cluster,1260,1191,407,398
C_jejuni_colonization_of_chick_caeca,663,604,239,223
Cadmium_resistance,6,5,3,1
Caffeic_acid_derivatives,13,19,10,9
Calvin-Benson_cycle,2244,2109,824,748
Campylobacter_Iron_Metabolism,342,344,105,109
Cannabinoid_biosynthesis,5,9,5,2
Capsular_Polysaccharide_(CPS)_of_Campylobacter,1,0,1,1
Capsular_Polysaccharides_Biosynthesis_and_Assembly,118,113,41,37
Capsular_heptose_biosynthesis,282,290,73,65
Carbon_Starvation,72,56,36,34
Carbon_monoxide_dehydrogenase_maturation_factors,57,53,20,22
Carbon_monoxide_induced_hydrogenase,11,17,7,4
Carbon_storage_regulator,1,1,2,2
Carboxysome,144,127,54,36
Carnitine_Metabolism_in_Microorganisms,9,14,4,4
Carotenoids,1756,1603,424,374
Catechol_branch_of_beta-ketoadipate_pathway,312,281,95,98
Cell_Division_Cluster,1956,1863,577,548
Cell_division-ribosomal_stress_proteins_cluster,1478,1360,535,492
Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators,25,22,2,6
Cell_wall_related_cluster,15,13,37,37
Cellulosome,183,177,31,26
Central_meta-cleavage_pathway_of_aromatic_compound_degradation,80,84,31,28
Chitin_and_N-acetylglucosamine_utilization,241,220,76,75
Chlorobenzoate_degradation,0,2,0,0
Chlorophyll_Biosynthesis,1838,1658,402,408
Chlorophyll_Degradation,38,31,0,0
Cholesterol_catabolic_operon_in_Mycobacteria,1,0,0,1
Choline_Transport,2,4,0,0
Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis,3002,2863,759,697
"Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.",1996,1855,541,469
Chorismate_Synthesis,729,677,246,224
Cinnamic_Acid_Degradation,38,35,10,8
"Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC)",0,0,1,0
ClpAS_cluster,642,609,333,312
ClpS__and_metallo-protease_cluster_in_Cyanos_,188,158,10,11
ClpS_cluster_with_hypothetical_protein_in_Cyanos,17,13,0,0
ClpS_like_protein_and_vWFA-like_protein_cluster,3,3,1,0
Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related,52,42,35,37
Cluster_Ytf_and_putative_sugar_transporter,327,293,106,89
Cluster_co-expressed_with_butyrate_metabolism_cluster,8,10,6,4
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair,103,94,51,35
Cluster_with_second_YidC_in_Bacilli,85,75,4,4
CoA-disulfide_reductase_(EC_1.8.1.14)_containing_cluster,1,3,1,1
CoA_disulfide_thiol-disulfide_redox_system,2,0,12,15
Cobalamin_synthesis,737,639,50,53
Cobalt-zinc-cadmium_resistance,1348,1260,273,263
Coenzyme_A_Biosynthesis,1395,1288,407,356
Coenzyme_B12_biosynthesis,1216,1078,263,230
Coenzyme_B_synthesis,3,2,0,0
Coenzyme_F420-H2_dehydrogenase_(methanophenazine),1,1,0,0
Coenzyme_F420_synthesis,104,106,11,5
Coenzyme_PQQ_synthesis,87,80,24,26
Colanic_acid_biosynthesis,247,222,56,48
"Cold_shock,_CspA_family_of_proteins",201,186,81,83
Colonization_factor_antigen_I_fimbriae,0,0,1,1
Commensurate_regulon_activation,17,11,2,2
Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate),1545,1457,504,486
Competence_in_Streptococci,0,0,1,1
Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families,903,827,280,257
Conjugative_transfer,71,60,25,27
Conjugative_transfer_related_cluster,79,60,16,15
"Conjugative_transposon,_Bacteroidales",0,0,8,6
Conserved_cluster_around_acetyltransferase_YpeA_in_Enterobacteria,5,5,2,1
"Conserved_cluster_in_Enterobacteriaceae_downstream_from_YqjA,_a_DedA_family_protein",4,5,0,0
Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase,1157,1060,297,257
Conserved_gene_cluster_possibly_involved_in_RNA_metabolism,620,543,169,159
Control_of_cell_elongation_-_division_cycle_in_Bacilli,316,295,104,87
Copper_homeostasis,472,428,133,116
Copper_homeostasis:_copper_tolerance,148,143,73,75
Core_Oligosaccharide_Glycosylation_in_Pseudomonas,10,9,8,7
Creatine_and_Creatinine_Degradation,1186,1124,317,299
Curli_production,25,37,16,13
Cyanate_hydrolysis,47,46,9,9
Cyanobacterial_Circadian_Clock,372,321,12,10
Cyanophycin_Metabolism,381,360,102,89
Cysteine_Biosynthesis,1875,1790,576,527
CytR_regulation,2,0,3,1
Cytochrome_B6-F_complex,126,114,58,52
Cytolysin_and_Lipase_operon_in_Vibrio,0,0,4,2
D-Alanyl_Lipoteichoic_Acid_Biosynthesis,0,0,1,1
D-Galacturonate_and_D-Glucuronate_Utilization,563,538,228,213
D-Sorbitol(D-Glucitol)_and_L-Sorbose_Utilization,30,25,25,24
D-Tagatose_and_Galactitol_Utilization,10,12,5,2
D-allose_utilization,0,4,0,2
"D-galactarate,_D-glucarate_and_D-glycerate_catabolism",24,16,8,3
D-galactonate_catabolism,84,65,10,11
D-gluconate_and_ketogluconates_metabolism,66,62,24,25
D-ribose_utilization,65,61,31,30
DMSP_breakdown,500,476,104,88
DMT_transporter,271,260,88,74
"DNA-binding_regulatory_proteins,_strays",196,178,82,91
DNA-replication,3863,3570,1179,1065
DNA_Repair_Base_Excision,1862,1680,539,488
DNA_gyrase_subunits,987,901,364,307
DNA_phosphorothioation,31,27,6,6
DNA_processing_cluster,99,112,35,31
"DNA_recombination,_archaeal",2,2,1,1
"DNA_repair,_UvrABC_system",2695,2569,863,817
"DNA_repair,_bacterial",2391,2218,979,866
"DNA_repair,_bacterial_DinG_and_relatives",48,28,7,5
"DNA_repair,_bacterial_MutL-MutS_system",908,792,271,242
"DNA_repair,_bacterial_RecBCD_pathway",324,269,59,54
"DNA_repair,_bacterial_RecFOR_pathway",1119,1053,301,318
"DNA_repair,_bacterial_UmuCD_system",489,452,138,138
"DNA_repair,_bacterial_UvrD_and_related_helicases",1014,972,331,312
"DNA_repair,_bacterial_photolyase",35,43,11,14
DNA_repair_and_recombination_eukaryotic,2,1,9,8
"DNA_replication,_archaeal",302,296,95,88
DNA_replication_cluster_1,633,576,153,158
"DNA_structural_proteins,_bacterial",219,198,76,63
"DNA_topoisomerases,_Type_I,_ATP-independent",47,48,36,35
"DNA_topoisomerases,_Type_II,_ATP-dependent",707,625,270,226
DOE_COG2016,772,726,271,251
DOE_COG3533,0,1,2,1
De_Novo_Purine_Biosynthesis,3439,3158,1213,1106
De_Novo_Pyrimidine_Synthesis,280,267,102,88
DedA_family_of_inner_membrane_proteins,3,1,6,6
Dehydrogenase_complexes,2626,2445,965,929
Denitrification,32,27,58,57
Deoxyribose_and_Deoxynucleoside_Catabolism,355,337,43,34
Dihydroxyacetone_kinases,35,33,20,17
Dimethylarginine_metabolism,69,69,29,39
Dipeptidases_(EC_3.4.13.-),17,18,6,5
Dissimilatory_nitrite_reductase,2,1,8,7
Disulphide_related_cluster,5,4,5,6
Divergent_RNA_modification_related_clusters,2,1,1,0
Dolichol_metabolism,36,32,10,10
Dot-Icm_type_IV_secretion_system,19,14,16,21
EC49-61,687,634,162,151
EC699-706,774,705,243,213
ECF_class_transporters,143,127,41,35
ESAT-6_proteins_secretion_system_in_Firmicutes,1,2,5,7
Ectoine_biosynthesis_and_regulation,9,13,26,21
Encapsulating_protein_for_DyP-type_peroxidase_and_ferritin-like_protein_oligomers,2,2,0,0
Entner-Doudoroff_Pathway,1051,954,312,281
Erythritol_utilization,24,23,10,8
Erythromycin_resistance,240,207,83,71
Ethanolamine_utilization,25,24,19,15
Ethylmalonyl-CoA_pathway_of_C2_assimilation,448,416,72,61
Exopolysaccharide_Biosynthesis,170,171,62,57
Exosome,0,0,2,1
Exosporium,6,6,2,7
Experimental-COG2515,84,79,41,39
Experimental-PTPS,383,361,102,85
Experimental-Ubiquinone_BiosynthesisVDC,1340,1236,357,322
Experimental_-_Histidine_Degradation,1212,1121,490,450
F0F1-type_ATP_synthase,3303,3097,1391,1290
Fap_amyloid_fiber_secretion_system,111,108,28,21
Fatty_Acid_Biosynthesis_FASI,2,1,9,7
Fatty_Acid_Biosynthesis_FASII,4401,4160,1508,1395
Fatty_acid_degradation_regulons,257,233,92,82
Fatty_acid_metabolism_cluster,155,143,45,45
Fe(III)_respiration_-_Shewanella_type,0,0,1,1
Fermentations:_Lactate,40,33,21,22
Fermentations:_Mixed_acid,1198,1071,276,238
Flagellar_motility,290,238,85,74
Flagellum,1340,1234,476,416
Flagellum_in_Campylobacter,583,536,152,131
Flavanone_biosynthesis,5,5,6,4
Flavodoxin,93,90,17,20
Folate_Biosynthesis,1427,1361,466,405
Formaldehyde_assimilation:_Ribulose_monophosphate_pathway,10,8,4,4
Formate_dehydrogenase,3,2,1,0
Formate_hydrogenase,1142,1092,259,252
Fosfomycin_resistance,1,1,2,2
Fructooligosaccharides(FOS)_and_Raffinose_Utilization,69,77,25,28
Fructose_and_Mannose_Inducible_PTS,0,0,0,1
Fructose_utilization,142,141,33,36
G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis),240,206,94,95
GABA_and_putrescine_metabolism_from_cluters,296,284,106,106
Galactose-inducible_PTS,2,2,3,2
Galactosylceramide_and_Sulfatide_metabolism,198,187,125,103
Gene_Transfer_Agent,61,54,39,34
General_Secretion_Pathway,534,488,161,137
Gentisare_degradation,75,51,8,7
Global_Two-component_Regulator_PrrBA_in_Proteobacteria,142,140,55,40
Glutamate-mediated_methylamine_utilization_pathway,169,163,10,6
Glutamate_and_Aspartate_uptake_in_Bacteria,128,104,52,50
Glutamate_dehydrogenases,5,4,5,2
"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis",1772,1706,637,595
Glutamine_synthetases,194,178,37,36
Glutaredoxin_3_and_Glutathione_synthetase_cluster,335,298,85,69
Glutaredoxin_3_containing_cluster,210,200,88,76
Glutaredoxin_3_containing_cluster_2,70,55,13,11
Glutaredoxins,85,79,27,19
Glutathione-dependent_pathway_of_formaldehyde_detoxification,68,64,24,12
Glutathione-regulated_potassium-efflux_system_and_associated_functions,258,247,111,101
Glutathione:_Biosynthesis_and_gamma-glutamyl_cycle,496,425,113,102
Glutathione:_Non-redox_reactions,127,117,24,20
Glutathione:_Redox_cycle,323,299,96,96
Glutathione_analogs:_mycothiol,30,23,2,2
Glutathionylspermidine_and_Trypanothione,3,3,6,3
Glycerate_metabolism,504,487,150,143
Glycerol_and_Glycerol-3-phosphate_Uptake_and_Utilization,518,499,135,116
Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria,868,821,303,265
Glycine_and_Serine_Utilization,2944,2740,1103,1011
Glycine_cleavage_system,480,457,203,179
Glycogen_metabolism,864,781,224,219
"Glycolate,_glyoxylate_interconversions",467,456,195,179
Glycolysis_and_Gluconeogenesis,2431,2256,868,797
"Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes",696,660,214,197
Glyoxylate_bypass,1296,1172,380,342
Gram_Positive_Competence,2,2,3,3
GroEL_GroES,224,201,65,73
Group_II_intron-associated_genes,31,17,25,22
H2:CoM-S-S-HTP_oxidoreductase,20,12,8,7
HMG_CoA_Synthesis,270,236,80,75
HPr_catabolite_repression_system,0,0,2,3
HPr_kinase_and_hprK_operon_in_Gram-positive_organisms,14,13,6,6
Heat_shock_dnaK_gene_cluster_extended,978,915,284,282
"Heme,_hemin_uptake_and_utilization_systems_in_GramNegatives",184,177,79,68
"Heme,_hemin_uptake_and_utilization_systems_in_GramPositives",47,41,26,24
Heme_and_Siroheme_Biosynthesis,2728,2584,855,845
Heme_biosynthesis_orphans,8,5,11,10
Hemin_transport_system,1,2,4,3
Heterocyst_formation_in_cyanobacteria,1,1,0,0
Hexose_Phosphate_Uptake_System,26,22,11,9
Hfl_operon,407,363,171,158
High_affinity_phosphate_transporter_and_control_of_PHO_regulon,1695,1561,610,538
Histidine_Biosynthesis,2438,2240,744,686
Histidine_Degradation,71,57,19,16
Homogentisate_pathway_of_aromatic_compound_degradation,210,173,40,41
Housecleaning_nucleoside_triphosphate_pyrophosphatases,255,245,71,81
HtrA_and_Sec_secretion,3292,3013,1228,1090
Hydantoin_metabolism,520,463,123,118
Hydrogenases,204,188,115,109
Hyperosmotic_potassium_uptake,114,108,45,35
Hypothetical_Related_to_Dihydroorotate_dehydrogenase,387,342,103,96
Indole-pyruvate_oxidoreductase_complex,1,2,0,0
Inner_membrane_protein_YhjD_and_conserved_cluster_involved_in_LPS_biosynthesis,3,1,0,0
Inorganic_Sulfur_Assimilation,1115,1057,401,371
Inositol_catabolism,1082,994,246,210
Integrons,1,2,10,5
Inteins,22,18,10,5
Intracellular_septation_in_Enterobacteria,18,20,5,5
Iojap,939,887,374,317
Iron(III)_dicitrate_transport_system_Fec,26,26,9,11
Iron-sulfur_cluster_assembly,821,760,292,280
Iron_Scavenging_cluster_in_Thermus,9,5,6,4
Iron_acquisition_in_Streptococcus,227,211,71,67
Iron_acquisition_in_Vibrio,176,143,53,51
Iron_siderophore_sensor_&_receptor_system,1,1,1,1
Isobutyryl-CoA_to_Propionyl-CoA_Module,84,75,19,18
Isoleucine_degradation,608,578,180,164
Isoprenoid_Biosynthesis,782,701,254,206
KDO2-Lipid_A_biosynthesis,2075,1931,514,471
KH_domain_RNA_binding_protein_YlqC,326,287,123,109
Ketoisovalerate_oxidoreductase,12,11,8,7
L-2-amino-thiazoline-4-carboxylic_acid-Lcysteine_conversion,98,96,15,13
L-Arabinose_utilization,123,114,40,33
L-Cystine_Uptake_and_Metabolism,7,8,7,8
L-ascorbate_utilization_(and_related_gene_clusters),1,1,0,0
L-fucose_utilization,208,179,33,28
L-fucose_utilization_temp,102,102,38,31
L-rhamnose_utilization,358,327,283,255
LMPTP_YfkJ_cluster,49,28,6,5
LMPTP_YwlE_cluster,103,99,29,25
LOS_core_oligosaccharide_biosynthesis,337,309,184,147
LSU_ribosomal_proteins_cluster,734,663,271,255
Lactate_utilization,40,37,37,38
Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway,800,737,233,196
Lactose_and_Galactose_Uptake_and_Utilization,57,46,18,18
Lactose_utilization,14,9,0,0
Late_competence,2,1,0,1
Legionaminic_Acid_Biosynthesis,142,137,25,15
Leucine_Biosynthesis,284,274,85,78
Leucine_Degradation_and_HMG-CoA_Metabolism,194,203,54,46
Lipid_A-Ara4N_pathway_(_Polymyxin_resistance_),140,145,54,47
Lipid_A_modifications,7,5,5,2
Lipoic_acid_metabolism,213,195,71,60
Lipopolysaccharide-related_cluster_in_Alphaproteobacteria,482,462,157,141
Lipopolysaccharide_assembly,487,443,199,166
Lipopolysaccharide_assembly_cluster,356,346,84,86
Lipoprotein_sorting_system,20,23,5,5
Listeria_Pathogenicity_Island_LIPI-1_extended,0,0,1,1
Listeria_bile_tolerance_locus_BltB,1,1,0,0
Listeria_phi-A118-like_prophages,1,1,3,3
Listeria_surface_proteins:_Internalin-like_proteins,32,36,38,25
Listeria_surface_proteins:_LPXTG_motif,2,2,30,20
Lysine_Biosynthesis_DAP_Pathway,3062,2775,1091,981
Lysine_biosynthesis_AAA_pathway_2,11,11,3,4
Lysine_degradation,176,168,97,73
Lysine_fermentation,2,2,3,2
Macromolecular_synthesis_operon,2707,2484,876,770
Major_Outer_Membrane_Proteins,87,78,18,18
Malonate_decarboxylase,14,12,1,1
Maltose_and_Maltodextrin_Utilization,947,868,160,135
Mannitol_Utilization,255,239,95,87
Mannose_Metabolism,194,182,31,22
"Marinocine,_a_broad-spectrum_antibacterial_protein",0,0,2,2
MazEF_toxin-antitoxing_(programmed_cell_death)_system,4,2,4,0
Mediator_of_hyperadherence_YidE_in_Enterobacteria_and_its_conserved_region,117,114,59,47
