level1	level2	level3	function	nador_lagoon_1	nador_lagoon_2	oualidia_lagoon_1	oualidia_lagoon_2
Virulence, Disease and Defense	Adhesion	Mediator_of_hyperadherence_YidE_in_Enterobacteria_and_its_conserved_region	16 kDa heat shock protein A	113	111	59	47
Virulence, Disease and Defense	Adhesion	Mediator_of_hyperadherence_YidE_in_Enterobacteria_and_its_conserved_region	16 kDa heat shock protein B	4	3	0	0
Clustering-based subsystems	NULL	Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase	16S rRNA m(5)C 967 methyltransferase (EC 2.1.1.-)	44	41	9	6
Clustering-based subsystems	NULL	KH_domain_RNA_binding_protein_YlqC	16S rRNA processing protein RimM	92	93	29	28
Carbohydrates	Di- and oligosaccharides	Unknown_oligosaccharide_utilization_Sde_1396	1st GPH family transporter in unknown oligosaccharide utilization Sde 1396	1	1	2	2
Nucleosides and Nucleotides	Purines	Purine_conversions	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	102	100	28	28
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_Biosynthesis_DAP_Pathway	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	23	24	13	11
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_Biosynthesis_DAP_Pathway	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	388	355	122	108
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	448	434	124	106
Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff_Pathway	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)	0	1	1	1
Carbohydrates	Fermentation	Acetoin,_butanediol_metabolism	2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	3	1	1	1
Carbohydrates	Fermentation	Acetoin,_butanediol_metabolism	2,3-butanediol dehydrogenase, S-alcohol forming, (R)-acetoin-specific (EC 1.1.1.4)	1	0	0	0
Carbohydrates	Fermentation	Acetoin,_butanediol_metabolism	2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	22	23	12	13
Iron acquisition and metabolism	NULL	Iron_acquisition_in_Vibrio	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28)	1	1	0	0
Iron acquisition and metabolism	NULL	Iron_acquisition_in_Vibrio	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)	2	2	2	2
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Biphenyl_Degradation	2,3-dihydroxybiphenyl 1,2-dioxygenase	11	9	1	3
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	2,3-dihydroxyphenylpropionate 1,2-dioxygenase (EC 1.13.11.-)	1	2	1	1
Miscellaneous	Plant-Prokaryote DOE project	Omega-amidase	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	38	33	1	3
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	4	5	5	5
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Anaerobic_Oxidative_Degradation_of_L-Ornithine	2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)	0	0	1	1
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_acid_degradation_regulons	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	251	229	84	76
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	63	59	37	35
Carbohydrates	Monosaccharides	L-fucose_utilization_temp	2,4-diketo-3-deoxy-L-fuconate hydrolase	16	20	4	5
Carbohydrates	Monosaccharides	D-gluconate_and_ketogluconates_metabolism	2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	1	1	2	1
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	polyprenyl_synthesis	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	87	89	29	24
Clustering-based subsystems	NULL	CBSS-211586.1.peg.3133	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	123	107	28	17
Cell Wall and Capsule	Gram-Negative cell wall components	KDO2-Lipid_A_biosynthesis	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	406	382	150	120
Carbohydrates	Monosaccharides	D-gluconate_and_ketogluconates_metabolism	2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, cytochrome c	0	0	1	1
Carbohydrates	Organic acids	2-methylcitrate_to_2-methylaconitate_metabolism_cluster	2-Methylcitrate dehydratase AcnD	10	8	14	17
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	2-Oxobutyrate dehydrogenase E1 (EC:1.2.4.1)	7	5	11	10
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	2-Oxobutyrate oxidase, putative	1	1	1	1
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Anaerobic_toluene_and_ethylbenzene_degradation	2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase alpha subunit (EC 1.1.1.35)	0	0	1	0
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (EC 2.5.1.-)	1	1	0	0
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_catabolism	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)	3	2	3	3
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	301	262	100	91
Miscellaneous	Plant-Prokaryote DOE project	COG4319	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	76	68	14	16
Phosphorus Metabolism	NULL	Phosphonate_metabolism	2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	8	9	2	2
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_catabolism	2-aminomuconate deaminase (EC 3.5.99.5)	13	15	5	4
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_catabolism	2-aminomuconate semialdehyde dehydrogenase (EC 1.2.1.32)	3	4	3	2
Secondary Metabolism	Biosynthesis of phenylpropanoids	Phytosterol_biosynthesis	2-cys peroxiredoxin BAS1, chloroplast precursor	0	0	1	0
Carbohydrates	Monosaccharides	D-galactonate_catabolism	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	29	19	1	1
Carbohydrates	Monosaccharides	D-galactarate,_D-glucarate_and_D-glycerate_catabolism	2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	9	6	2	0
Carbohydrates	Monosaccharides	D-Galacturonate_and_D-Glucuronate_Utilization	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	39	36	16	15
Carbohydrates	Monosaccharides	D-galactonate_catabolism	2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	39	32	2	2
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	109	97	11	11
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme_A_Biosynthesis	2-dehydropantoate 2-reductase (EC 1.1.1.169)	99	90	15	11
Carbohydrates	Monosaccharides	D-Galacturonate_and_D-Glucuronate_Utilization	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	28	22	15	14
DNA Metabolism	DNA repair	2-phosphoglycolate_salvage	2-deoxyglucose-6-phosphate hydrolase YniC	0	0	2	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Chlorophyll_Biosynthesis	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase BchC	70	57	16	10
Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269	2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	37	28	7	7
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	5	5	0	0
Carbohydrates	Organic acids	Glycerate_metabolism	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	280	279	109	102
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Biphenyl_Degradation	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	82	77	15	13
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Naphtalene_and_antracene_degradation	2-hydroxychromene-2-carboxylate isomerase	144	133	30	29
Miscellaneous	Plant-Prokaryote DOE project	At3g50560	2-hydroxychromene-2-carboxylate isomerase family protein, glutathione-dependent	16	13	3	2
Miscellaneous	Plant-Prokaryote DOE project	At5g38900	2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain	16	10	8	4
Metabolism of Aromatic Compounds	Anaerobic degradation of aromatic compounds	Anaerobic_benzoate_metabolism	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase (EC 1.1.1.-)	9	6	3	3
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)	27	27	15	9
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)	7	7	4	0
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Biphenyl_Degradation	2-hydroxypenta-2,4-dienoate hydratase	1	1	0	0
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	2-isopropylmalate synthase (EC 2.3.3.13)	732	716	278	244
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	166	153	50	53
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	106	99	22	20
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	266	273	144	131
Carbohydrates	Monosaccharides	L-fucose_utilization	2-keto-3-deoxy-L-fuconate dehydrogenase	115	108	20	18
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	2-keto-4-pentenoate hydratase (EC 4.2.1.-)	25	23	7	6
Metabolism of Aromatic Compounds	NULL	Benzoate_transport_and_degradation_cluster	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	22	22	11	10
Carbohydrates	Monosaccharides	D-gluconate_and_ketogluconates_metabolism	2-ketoaldonate reductase, broad specificity (EC 1.1.1.215) (EC 1.1.1.-)	1	1	0	0
Carbohydrates	Monosaccharides	2-Ketogluconate_Utilization	2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	0	1	0	0
Carbohydrates	Monosaccharides	2-Ketogluconate_Utilization	2-ketogluconate utilization repressor PtxS	1	1	0	1
Carbohydrates	Monosaccharides	L-Arabinose_utilization	2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	19	17	1	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Tocopherol_Biosynthesis	2-methyl-6-phytyl-1,4-benzoquinone cyclase	0	0	1	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Tocopherol_Biosynthesis	2-methyl-6-phytyl-1,4-benzoquinone methyltransferase	8	10	2	3
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Plastoquinone_Biosynthesis	2-methyl-6-solanyl-1,4-benzoquinone methyltransferase	38	34	1	1
Carbohydrates	Organic acids	2-methylcitrate_to_2-methylaconitate_metabolism_cluster	2-methylaconitate racemase	26	29	7	8
Carbohydrates	Organic acids	Propionate-CoA_to_Succinate_Module	2-methylcitrate dehydratase (EC 4.2.1.79)	189	201	46	50
Carbohydrates	Organic acids	Propionate-CoA_to_Succinate_Module	2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	10	8	15	20
Carbohydrates	Organic acids	Methylcitrate_cycle	2-methylcitrate synthase (EC 2.3.3.5)	158	160	61	64
Carbohydrates	Organic acids	Propionate-CoA_to_Succinate_Module	2-methylisocitrate dehydratase (EC 4.2.1.99)	96	107	78	64
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone_Biosynthesis	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	138	126	40	37
Clustering-based subsystems	NULL	CBSS-87626.3.peg.3639	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	113	104	19	16
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	34	27	4	5
Carbohydrates	Central carbohydrate metabolism	Dehydrogenase_complexes	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	1041	1014	402	393
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	2-oxoglutarate/malate translocator	2	2	1	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme M	coenzyme_M_biosynthesis	2-phosphosulfolactate phosphatase (EC 3.1.3.71)	19	16	1	0
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases	1	4	4	4
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_and_Phylloquinone_Biosynthesis	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	98	86	14	12
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)	36	37	11	8
Clustering-based subsystems	NULL	CBSS-160492.1.peg.550	21 kDa hemolysin precursor	8	7	1	1
RNA Metabolism	RNA processing and modification	RNA_methylation	23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-)	61	50	21	18
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	23S rRNA (guanine-N-2-) -methyltransferase rlmG (EC 2.1.1.-)	1	1	1	1
RNA Metabolism	RNA processing and modification	RNA_methylation	23S rRNA (guanine-N-2-) -methyltransferase rlmL EC 2.1.1.-)	37	38	16	19
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	190	171	51	48
RNA Metabolism	RNA processing and modification	RNA_methylation	23S rRNA N-6-methyltransferase ErmCX	0	0	0	1
Sulfur Metabolism	Inorganic sulfur assimilation	Inorganic_Sulfur_Assimilation	3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	139	128	27	24
Regulation and Cell signaling	NULL	cAMP_signaling_in_bacteria	3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	28	22	7	4
Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages	Phage_DNA_synthesis	3'-phosphatase, 5'-polynucleotide kinase, phage-associated	4	1	2	1
DNA Metabolism	NULL	DNA_phosphorothioation	3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC	13	12	2	2
RNA Metabolism	RNA processing and modification	RNA_processing_and_degradation,_bacterial	3'-to-5' exoribonuclease RNase R	466	432	118	110
RNA Metabolism	RNA processing and modification	RNA_processing_and_degradation,_bacterial	3'-to-5' oligoribonuclease (orn)	76	68	34	29
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin_to_FAD	3,4-dihydroxy-2-butanone 4-phosphate synthase	251	232	89	73
Miscellaneous	Plant-Prokaryote DOE project	Experimental-Ubiquinone_BiosynthesisVDC	3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase (EC 2.1.1.114)	0	0	1	0
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	3,4-dihydroxyphenylacetate 2,3-dioxygenase	21	15	5	5
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)	1	4	0	1
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_fermentation	3,5-diaminobexanoate dehydrogenase (EC 1.4.1.11)	0	0	2	2
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	3-(3-hydroxy-phenyl)propionate hydroxylase (EC 1.14.13.-)	8	8	2	1
Cell Wall and Capsule	Cell wall of Mycobacteria	mycolic_acid_synthesis	3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III FABH (BETA-KETOACYL-ACP SYNTHASE III) (KAS III)	3	1	8	8
Miscellaneous	Plant-Prokaryote DOE project	At1g52510_AT4G12830_(COG0596)	3-beta hydroxysteroid dehydrogenase/isomerase family protein in hypothetical gene cluster	12	7	1	2
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Protocatechuate_branch_of_beta-ketoadipate_pathway	3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)	29	23	2	0
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	3-dehydroquinate dehydratase I (EC 4.2.1.10)	0	1	0	0
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Quinate_degradation	3-dehydroquinate dehydratase II (EC 4.2.1.10)	185	167	50	41
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	3-dehydroquinate synthase (EC 4.2.3.4)	308	288	137	124
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone_Biosynthesis	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	283	237	53	46
Clustering-based subsystems	NULL	Lipopolysaccharide_assembly_cluster	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	56	64	18	16
Cell Wall and Capsule	Gram-Negative cell wall components	Vibrio_Core_Oligosaccharide_Biosynthesis	3-deoxy-D-manno-octulosonic acid kinase (EC 2.7.1.-)	1	0	0	0
Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide-related_cluster_in_Alphaproteobacteria	3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	108	91	30	26
Cell Wall and Capsule	Gram-Negative cell wall components	KDO2-Lipid_A_biosynthesis	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	270	222	58	56
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Acyclic_terpenes_utilization	3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase	32	23	8	7
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	n-Phenylalkanoic_acid_degradation	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	410	394	134	126
Metabolism of Aromatic Compounds	NULL	Phenylacetyl-CoA_catabolic_pathway_(core)	3-hydroxyacyl-CoA dehydrogenase PaaC (EC 1.1.1.-)	11	9	11	9
Carbohydrates	Organic acids	Isobutyryl-CoA_to_Propionyl-CoA_Module	3-hydroxyacyl-CoA dehydrogenase [isoleucine degradation] (EC 1.1.1.35)	16	10	5	4
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD_and_NADP_cofactor_biosynthesis_global	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	30	28	5	5
Carbohydrates	Fermentation	Acetyl-CoA_fermentation_to_Butyrate	3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	1	1	0	0
Carbohydrates	Fermentation	Acetyl-CoA_fermentation_to_Butyrate	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	13	15	13	13
Carbohydrates	Fermentation	Acetone_Butanol_Ethanol_Synthesis	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	163	133	38	34
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_acid_metabolism_cluster	3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	152	141	45	45
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	179	156	72	83
Amino Acids and Derivatives	Branched-chain amino acids	Valine_degradation	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	224	201	32	38
Carbohydrates	Organic acids	Isobutyryl-CoA_to_Propionyl-CoA_Module	3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	51	51	10	11
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	667	630	260	258
Amino Acids and Derivatives	Branched-chain amino acids	Leucine_Biosynthesis	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	284	274	85	78
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	522	488	212	207
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_fermentation	3-keto-5-aminohexanoate cleavage enzyme	2	2	1	0
Carbohydrates	Monosaccharides	L-ascorbate_utilization_(and_related_gene_clusters)	3-keto-L-gulonate 6-phosphate decarboxylase homolog	1	1	0	0
Fatty Acids, Lipids, and Isoprenoids	NULL	Polyhydroxybutyrate_metabolism	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	247	226	94	84
Carbohydrates	Organic acids	Isobutyryl-CoA_to_Propionyl-CoA_Module	3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)	17	14	4	3
Clustering-based subsystems	Clustering-based subsystems	CBSS-280355.3.peg.2835	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	344	324	96	91
