,gene function,organism,oualidia_2_counts,phylum,class,order,family
24,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Lactococcus lactis subsp. cremoris SK11,2,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
25,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Neisseria meningitidis FAM18,1,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae
26,1-acyl-sn-glycerol-3-phosphate acetyltransferase,Maribacter sp. HTCC2170,3,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
27,1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,2,Bacteroidetes,Flavobacteriia,Flavobacteriales,
28,1-acyl-sn-glycerol-3-phosphate acyltransferase,Zunongwangia profunda SM-A87,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
29,1-aminocyclopropane-1-carboxylate deaminase,Burkholderia cenocepacia J2315,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
30,1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,2,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
31,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Acaryochloris marina MBIC11017,1,Cyanobacteria,,Synechococcales,Acaryochloridaceae
32,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Alteromonas macleodii ''Deep ecotype'',1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
33,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bacteroides vulgatus ATCC 8482,1,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
34,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Cylindrospermopsis raciborskii CS-505,1,Cyanobacteria,,Nostocales,Aphanizomenonaceae
35,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,2,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae
36,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodopseudomonas palustris HaA2,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
37,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Thioalkalivibrio sp. K90mix,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
38,1-deoxy-D-xylulose 5-phosphate synthase,Herbaspirillum seropedicae SmR1,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
39,1-deoxy-D-xylulose-5-phosphate synthase,Actinobacillus pleuropneumoniae serovar 6 str. Femo,1,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
40,1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,2,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
41,1-deoxy-D-xylulose-5-phosphate synthase,Chlamydophila pneumoniae AR39,1,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae
42,1-deoxy-D-xylulose-5-phosphate synthase,Dermacoccus sp. Ellin185,1,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae
43,1-deoxy-D-xylulose-5-phosphate synthase,Gemmatimonas aurantiaca T-27,1,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae
44,1-deoxy-D-xylulose-5-phosphate synthase,Gramella forsetii KT0803,4,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
45,1-deoxy-D-xylulose-5-phosphate synthase,Kytococcus sedentarius DSM 20547,1,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae
46,1-deoxy-D-xylulose-5-phosphate synthase,Mannheimia succiniciproducens MBEL55E,1,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
47,1-deoxy-D-xylulose-5-phosphate synthase,Marinobacter sp. ELB17,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
48,1-deoxy-D-xylulose-5-phosphate synthase,Mycobacterium parascrofulaceum ATCC BAA-614,1,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae
49,1-deoxy-D-xylulose-5-phosphate synthase,Prevotella ruminicola 23,1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
50,1-deoxy-D-xylulose-5-phosphate synthase,Pseudomonas fluorescens Pf-5,2,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
51,1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,3,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
52,1-deoxy-D-xylulose-5-phosphate synthase,Sphingopyxis alaskensis RB2256,8,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
53,1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
54,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Leadbetterella byssophila DSM 17132,1,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae
55,1-phosphatidylinositol-,Homo sapiens,2,Chordata,Mammalia,Primates,Hominidae
56,1-pyrroline-5-carboxylate dehydrogenase,Deferribacter desulfuricans SSM1,1,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae
57,116 kDa U5 small nuclear ribonucleoprotein component isoform a,Mus musculus,1,Chordata,Mammalia,Rodentia,Muridae
58,12-oxophytodienoate reductase 1,gamma proteobacterium NOR5-3,2,Chordata,Mammalia,Primates,Hominidae
59,13 kDa ribonucleoprotein-associated protein,Phytophthora infestans T30-4,1,,Oomycetes,Peronosporales,
60,16S rRNA methyltransferase GidB,Arthrobacter chlorophenolicus A6,5,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae
61,16S rRNA methyltransferase GidB,Brevibacterium mcbrellneri ATCC 49030,3,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae
62,16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,14,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae
63,16S rRNA-processing protein RimM,Vibrio fischeri ES114,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
64,1A family penicillin-binding protein,Burkholderia ambifaria AMMD,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
65,1A family penicillin-binding protein,Geobacter sulfurreducens PCA,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae
66,2',Eubacterium yurii subsp. margaretiae ATCC 43715,1,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae
67,2''-deoxycytidine 5''-triphosphate deaminase,Roseovarius nubinhibens ISM,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
68,2-C-methyl-D-erythritol,Chloroherpeton thalassium ATCC 35110,1,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae
69,2-C-methyl-D-erythritol,Deferribacter desulfuricans SSM1,3,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae
70,2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
71,2-C-methyl-D-erythritol,Ralstonia pickettii 12J,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
72,2-C-methyl-D-erythritol,Vibrio harveyi ATCC BAA-1116,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
73,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bacillus clausii KSM-K16,1,Firmicutes,Bacilli,Bacillales,Bacillaceae
74,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Prevotella oris F0302,1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
75,2-alkenal reductase,Arthrospira maxima CS-328,1,Cyanobacteria,,Oscillatoriales,Microcoleaceae
76,2-amino-3-ketobutyrate coenzyme A ligase,Francisella tularensis subsp. tularensis WY96-3418,1,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae
77,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,Streptomyces sp. e14,1,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
78,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Streptococcus pyogenes MGAS2096,1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
79,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Streptomyces avermitilis MA-4680,2,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
80,2-aminoethylphosphonate--pyruvate transaminase,Thalassiobium sp. R2A62,2,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
81,2-dehydro-3-deoxyglucarate aldolase,Rhodoferax ferrireducens T118,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
82,2-dehydro-3-deoxyphosphooctonate aldolase,Allochromatium vinosum DSM 180,2,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae
83,2-dehydro-3-deoxyphosphooctonate aldolase,Arcobacter butzleri RM4018,1,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae
84,2-dehydro-3-deoxyphosphooctonate aldolase,Bordetella parapertussis 12822,2,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
85,2-dehydro-3-deoxyphosphooctonate aldolase,Leptospira biflexa serovar Patoc strain ''Patoc 1 (Ames)'',2,Spirochaetes,Spirochaetia,,Leptospiraceae
86,2-dehydro-3-deoxyphosphooctonate aldolase,Roseobacter denitrificans OCh 114,5,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
87,2-dehydropantoate 2-reductase,Alteromonas macleodii ''Deep ecotype'',2,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
88,2-dehydropantoate 2-reductase,Brevundimonas subvibrioides ATCC 15264,2,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae
89,2-desacetyl-2-hydroxyethyl bacteriochlorophyllide,Rhodospirillum rubrum ATCC 11170,2,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
90,2-hydroxy-3-oxopropionate reductase,Idiomarina loihiensis L2TR,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae
91,2-hydroxyacid dehydrogenase,Alteromonas macleodii ''Deep ecotype'',1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
92,2-hydroxychromene-2-carboxylate isomeras,Limnobacter sp. MED105,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
93,2-hydroxychromene-2-carboxylate isomerase,Silicibacter lacuscaerulensis ITI-1157,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
94,2-hydroxyglutarate dehydrogenase,Shewanella woodyi ATCC 51908,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
95,2-hydroxyhepta-,Thermococcus kodakarensis KOD1,1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae
96,2-hydroxymuconic semialdehyde hydrolase,Azotobacter vinelandii DJ,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
97,2-isopropylmalate synthase,Anaeromyxobacter dehalogenans 2CP-C,1,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae
98,2-isopropylmalate synthase,Azorhizobium caulinodans ORS 571,7,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae
99,2-isopropylmalate synthase,Chthoniobacter flavus Ellin428,1,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae
100,2-isopropylmalate synthase,Nitrobacter winogradskyi Nb-255,2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
101,2-isopropylmalate synthase,Psychrobacter sp. PRwf-1,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
102,2-isopropylmalate synthase,Rhodomicrobium vannielii ATCC 17100,4,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae
103,2-isopropylmalate synthase,Stackebrandtia nassauensis DSM 44728,1,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae
104,2-isopropylmalate synthase,Streptomyces sp. ACTE,3,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
105,2-isopropylmalate synthase,beta proteobacterium KB13,5,Proteobacteria,Betaproteobacteria,Methylophilales,
106,2-isopropylmalate synthase,gamma proteobacterium NOR5-3,1,Chordata,Mammalia,Primates,Hominidae
107,2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1 7-dioic acid hydratase,Maribacter sp. HTCC2170,4,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
108,2-ketoglutarate: NADP oxidoreductas,Aromatoleum aromaticum EbN1,4,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
109,2-ketoisovalerate ferredoxin reductase,Parabacteroides distasonis ATCC 8503,1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
110,2-methylcitrate dehydratase,beta proteobacterium KB13,6,Proteobacteria,Betaproteobacteria,Methylophilales,
111,2-methylcitrate synthase/citrate synthase II,Burkholderia sp. CCGE1002,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
112,2-methylcitrate synthase/citrate synthase II,Methylotenera sp. 301,1,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae
113,2-methylisocitrate dehydratas,Acinetobacter junii SH205,3,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
114,2-methylthioadenine synthetase,Candidatus Puniceispirillum marinum IMCC1322,4,Proteobacteria,Alphaproteobacteria,,
115,2-nitropropane dioxygenase,Dokdonia donghaensis MED134,3,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
116,2-nitropropane dioxygenase NPD,Comamonas testosteroni KF-1,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
117,2-nitropropane dioxygenase NPD,Parvibaculum lavamentivorans DS-1,2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
118,2-nitropropane dioxygenase NPD,Pseudomonas putida W619,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
119,2-octaprenyl-6-methoxyphenyl hydroxylase,Neptuniibacter caesariensis,2,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
120,2-oxo-acid dehydrogenase E1 subuni,Alicycliphilus denitrificans BC,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
121,2-oxo-acid dehydrogenase E1 subuni,Pirellula staleyi DSM 6068,2,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
122,2-oxoglutarate decarboxylase,Actinomyces urogenitalis DSM 15434,1,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae
123,2-oxoglutarate dehydrogenas,Croceibacter atlanticus HTCC2559,3,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
124,2-oxoglutarate dehydrogenas,Francisella tularensis subsp. holarctica URFT1,1,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae
125,2-oxoglutarate dehydrogenas,Loktanella vestfoldensis SKA53,2,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
126,2-oxoglutarate dehydrogenas,Nitrococcus mobilis Nb-231,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae
127,2-oxoglutarate dehydrogenas,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,1,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae
128,2-oxoglutarate dehydrogenas,Pelagibaca bermudensis HTCC2601,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
129,2-oxoglutarate dehydrogenas,Pseudomonas syringae pv. tomato str. DC3000,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
130,2-oxoglutarate dehydrogenas,Wolbachia endosymbiont of Drosophila melanogaster,3,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae
131,2-oxoglutarate dehydrogenase (succinyl-transferring,Blattabacterium sp. (Blattella germanica) str. Bge,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae
132,2-oxoglutarate dehydrogenase E1 component,Brucella suis bv. 4 str. 40,21,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae
133,2-oxoglutarate dehydrogenase E1 component,Mesorhizobium loti MAFF303099,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae
134,2-oxoglutarate dehydrogenase E1 component,Nitrosococcus oceani ATCC 19707,1,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae
135,2-oxoglutarate dehydrogenase E1 component,Pelobacter carbinolicus DSM 2380,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
136,2-oxoglutarate dehydrogenase E1 component,Photobacterium damselae subsp. damselae CIP 102761,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
137,2-oxoglutarate dehydrogenase E1 component,Rhodobacter sphaeroides ATCC 17025,3,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
138,2-oxoglutarate dehydrogenase E1 component,Vibrio coralliilyticus ATCC BAA-450,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
139,2-oxoglutarate dehydrogenase E1 component,Xanthobacter autotrophicus Py2,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae
140,2-oxoglutarate dehydrogenase E2 component,Chromohalobacter salexigens DSM 3043,2,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
141,2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,3,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
142,2-oxoglutarate synthase subunit KorA,Campylobacterales bacterium GD 1,1,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
143,2-oxoisovalerate dehydrogenase E2 componen,Algoriphagus sp. PR1,2,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae
144,2-oxoisovalerate dehydrogenase beta subunit,Parabacteroides distasonis ATCC 8503,1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
145,2-polyprenyl-6-methoxyphenol 4-hydroxylase,marine gamma proteobacterium HTCC2148,2,,,,
146,2-polyprenyl-6-methoxyphenol hydroxylase,Acinetobacter johnsonii SH046,1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
147,2-polyprenylphenol 6-hydroxylase,Marinobacter sp. ELB17,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
148,2-pyrone-,Reinekea blandensis MED297,1,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae
149,2-succinyl-6-hydroxy-,Psychroflexus torquis ATCC 700755,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
150,23S rRNA (Uracil-5-)-methyltransferase rumA,Oceanicola batsensis HTCC2597,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
151,23S rRNA (uracil-5-)-methyltransferase RumA,Escherichia albertii TW07627,1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
152,23S rRNA m(5)u-1939 methyltransferase,Paludibacter propionicigenes WB4,1,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
153,23S rRNA methyltransferase,Vibrio fischeri ES114,1,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
154,23S rRNA methyltransferase A,Serratia proteamaculans 568,1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae
155,23S rRNA methyltransferase J,Shewanella sediminis HAW-EB3,2,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
156,23S rRNA pseudouridylate synthase C,Enterobacter cloacae subsp. cloacae ATCC 13047,1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
157,26S protease regulatory subunit 8,Dictyostelium discoideum AX4,2,,,Dictyosteliida,
158,26S proteasome non-ATPase regulatory subunit 3,Homo sapiens,1,Chordata,Mammalia,Primates,Hominidae
159,26S proteasome regulatory comple,Physcomitrella patens subsp. patens,1,Streptophyta,Bryopsida,Funariales,Funariaceae
160,27kDa outer membrane protein,Rhodobacterales bacterium HTCC2255,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
161,27kDa outer membrane protein,Roseobacter sp. CCS2,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
162,28S ribosomal RNA,Barssia oregonensis,5,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae
163,28S ribosomal RNA,Basidiobolus ranarum,6,Zoopagomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae
164,2Fe-2S ferredoxin,Gramella forsetii KT0803,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
165,2Fe-2S iron-sulfur cluster binding domain-containing protein,Burkholderia cenocepacia MC0-3,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
166,2OG-Fe(II) oxygenase,Prochlorococcus phage P-SSM2,3,,,Caudovirales,Myoviridae
167,2OG-Fe(II) oxygenase superfamily protein,gamma proteobacterium NOR51-B,2,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
168,3''(2'',Candidatus Puniceispirillum marinum IMCC1322,3,Proteobacteria,Alphaproteobacteria,,
169,3''(2'',Shewanella pealeana ATCC 700345,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
170,3''(2'',marine gamma proteobacterium HTCC2080,1,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
171,3''-5'' exonuclease,Streptomyces sp. ACTE,1,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
172,3''-5'' exonuclease family protein,alpha proteobacterium HIMB114,5,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
173,3(2,Candidatus Pelagibacter sp. HTCC7211,8,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
174,3-beta hydroxysteroid dehydrogenase/isomerase,Anabaena variabilis ATCC 29413,1,Cyanobacteria,,Nostocales,Nostocaceae
175,3-beta hydroxysteroid dehydrogenase/isomerase,Geobacter uraniireducens Rf4,1,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae
176,3-dehydroquinate dehydratas,Algoriphagus sp. PR1,1,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae
177,3-dehydroquinate dehydratas,Pedobacter heparinus DSM 2366,1,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
178,3-dehydroquinate dehydratase,Candidatus Pelagibacter ubique HTCC1062,6,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
179,3-dehydroquinate dehydratase,Chromobacterium violaceum ATCC 12472,1,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae
180,3-dehydroquinate dehydratase,Gardnerella vaginalis ATCC 14019,2,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae
181,3-dehydroquinate dehydratase,Polaribacter sp. MED152,1,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
