,gene function,organism,nador_1_counts,phylum,class,order,family
44,1-deoxy-D-xylulose-5-phosphate synthase,Desulfotalea psychrophila LSv54,1.56,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae
45,1-deoxy-D-xylulose-5-phosphate synthase,Klebsiella pneumoniae 342,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
46,1-deoxy-D-xylulose-5-phosphate synthase,Lawsonia intracellularis PHE/MN1-00,0.0,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae
47,1-deoxy-D-xylulose-5-phosphate synthase,Rhodococcus jostii RHA1,0.0,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
48,1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,3.32,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
49,1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,8.88,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
50,1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. CC9902,5.82,Cyanobacteria,,Synechococcales,Synechococcaceae
51,1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. PCC 7335,0.0,Cyanobacteria,,Synechococcales,Synechococcaceae
52,1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. WH 7803,6.57,Cyanobacteria,,Synechococcales,Synechococcaceae
53,1-deoxy-D-xylulose-5-phosphate synthase,Thermomicrobium roseum DSM 5159,0.0,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae
54,1-deoxy-xylulose 5-phosphate synthase,Thermodesulfovibrio yellowstonii DSM 11347,0.0,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae
55,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Methylobacter tundripaludum SV96,0.0,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae
56,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase.,Alcanivorax borkumensis SK2,6.5,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
57,1-pyrroline-5-carboxylate dehydrogenase,Deferribacter desulfuricans SSM1,8.21,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae
58,1-pyrroline-5-carboxylate dehydrogenase,Sorangium cellulosum ''So ce 56'',0.0,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae
59,1-pyrroline-5-carboxylate dehydrogenase,Stigmatella aurantiaca DW4/3-1,0.0,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae
60,14-3-3 protein,Tetrahymena thermophila,0.0,,Oligohymenophorea,Hymenostomatida,Tetrahymenidae
61,16S rRNA m(7)G-527 methyltransferase,Mucilaginibacter paludis DSM 18603,0.0,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
62,16S rRNA processing protein RimM,Capnocytophaga ochracea DSM 7271,3.32,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
63,16S rRNA processing protein RimM,Citreicella sp. SE45,2.47,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
64,16S rRNA-processing protein,Synechococcus sp. WH 5701,2.47,Cyanobacteria,,Synechococcales,Synechococcaceae
65,16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,3.18,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae
66,16S rRNA-processing protein RimM,Pseudomonas aeruginosa PAO1,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
67,16S ribosomal RNA methyltransferase RsmE,Synechococcus sp. CC9902,1.56,Cyanobacteria,,Synechococcales,Synechococcaceae
68,1A family penicillin-binding protein,Synechococcus sp. JA-3-3Ab,0.0,Cyanobacteria,,Synechococcales,Synechococcaceae
69,1L-myo-inositol-1-phosphate synthase,Streptomyces viridochromogenes DSM 40736,1.66,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
70,2''-deoxycytidine 5''-triphosphate deaminase,Roseobacter sp. MED193,9.03,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
71,2-C-methyl-D-erythritol,Bacillus cereus ATCC 10987,0.0,Firmicutes,Bacilli,Bacillales,Bacillaceae
72,2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,0.0,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
73,2-C-methyl-D-erythritol,Pseudomonas syringae pv. tabaci ATCC 11528,3.37,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
74,2-C-methyl-D-erythritol,Thermobifida fusca YX,0.0,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae
75,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Corynebacterium accolens ATCC 49725,0.0,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae
76,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Prochlorococcus marinus str. MIT 9313,1.69,Cyanobacteria,,Synechococcales,Prochloraceae
77,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Synechococcus sp. WH 8109,8.21,Cyanobacteria,,Synechococcales,Synechococcaceae
78,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,gamma proteobacterium HTCC2207,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
79,2-acyl-glycerophospho-ethanolamine acyltransferase,Rhodopirellula baltica SH 1,1.6,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
80,2-amino-3-ketobutyrate coenzyme A ligase,Ralstonia pickettii 12D,2.37,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
81,2-amino-3-ketobutyrate coenzyme A ligase,Vibrio shilonii AK1,0.0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
82,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Methylococcus capsulatus str. Bath,0.0,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae
83,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Synechococcus sp. WH 8102,2.55,Cyanobacteria,,Synechococcales,Synechococcaceae
84,2-aminoethylphosphonate ABC transport syste,Sinorhizobium meliloti BL225C,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
85,2-aminoethylphosphonate--pyruvate transaminase,Thalassiobium sp. R2A62,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
86,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Pseudomonas syringae pv. phaseolicola 1448A,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
87,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Roseobacter denitrificans OCh 114,1.62,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
88,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Ruegeria sp. R11,5.86,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
89,2-dehydro-3-deoxygalactonokinase,Dinoroseobacter shibae DFL 12,6.75,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
90,2-dehydro-3-deoxyglucarate aldolase,Methanococcoides burtonii DSM 6242,2.46,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
91,2-dehydro-3-deoxyglucarate aldolase,Rhodobacterales bacterium HTCC2255,1.6,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
92,2-dehydro-3-deoxyglucarate aldolase,Rhodoferax ferrireducens T118,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
93,2-dehydro-3-deoxyphosphogluconate aldolase,Pseudomonas fluorescens WH6,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
94,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,Roseobacter sp. CCS2,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
95,2-dehydro-3-deoxyphosphooctonate aldolase,Coxiella burnetii CbuK_Q154,0.0,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae
96,2-dehydro-3-deoxyphosphooctonate aldolase,Lentisphaera araneosa HTCC2155,0.0,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae
97,2-dehydro-3-deoxyphosphooctonate aldolase,Rhodopseudomonas palustris BisA53,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
98,2-dehydro-3-deoxyphosphooctonate aldolase,Roseobacter denitrificans OCh 114,3.39,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
99,2-dehydropantoate 2-reductase,Burkholderia phymatum STM815,2.39,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
100,2-dehydropantoate 2-reductase,Burkholderia pseudomallei 1710b,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
101,2-dehydropantoate 2-reductase,Rhodobacter sphaeroides 2.4.1,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
102,2-deoxy-D-gluconate 3-dehydrogenase,Caldicellulosiruptor saccharolyticus DSM 8903,1.54,Firmicutes,Clostridia,Thermoanaerobacterales,
103,2-desacetyl-2-hydroxyethyl bacteriochlorophyllide,Rhodospirillum rubrum ATCC 11170,5.05,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
104,2-hydroxy-3-oxopropionate reductase,Pirellula staleyi DSM 6068,0.0,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
105,2-hydroxy-3-oxopropionate reductase,Shewanella denitrificans OS217,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
106,2-hydroxyacid dehydrogenas,alpha proteobacterium BAL199,0.0,Proteobacteria,Alphaproteobacteria,,
107,2-hydroxypent-,Pseudomonas putida,4.06,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
108,2-isopropylmalate synthase,Azospirillum sp. B510,1.64,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
109,2-isopropylmalate synthase,Corynebacterium efficiens YS-314,1.58,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae
110,2-isopropylmalate synthase,Haemophilus influenzae Rd KW20,0.0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
111,2-isopropylmalate synthase,Marinobacter aquaeolei VT8,9.04,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
112,2-isopropylmalate synthase,Nitrobacter winogradskyi Nb-255,19.33,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
113,2-isopropylmalate synthase,Rhodomicrobium vannielii ATCC 17100,1.69,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae
114,2-isopropylmalate synthase,Silicibacter sp. TrichCH4B,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
115,2-isopropylmalate synthase,beta proteobacterium KB13,6.67,Proteobacteria,Betaproteobacteria,Methylophilales,
116,2-isopropylmalate synthase,gamma proteobacterium NOR5-3,2.48,Chordata,Mammalia,Primates,Hominidae
117,2-isopropylmalate synthase/homocitrate synthase family protein,Rhodobacterales bacterium Y4I,4.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
118,2-keto-3-deoxy-6-phosphogluconate aldolase,Helicobacter pylori J99,3.3,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
119,2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1 7-dioic acid hydratase,Rhodobacter sphaeroides 2.4.1,2.48,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
120,2-ketoglutarate: NADP oxidoreductas,Aromatoleum aromaticum EbN1,5.0,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
121,2-methylcitrate dehydratase,Bacillus anthracis str. Western North America USA6153,2.54,Firmicutes,Bacilli,Bacillales,Bacillaceae
122,2-methylcitrate dehydratase,Pseudomonas fluorescens WH6,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
123,2-methylcitrate synthase/citrate synthase II,Methylotenera sp. 301,2.42,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae
124,2-methylisocitrate lyase,Marinobacter sp. ELB17,4.12,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
125,2-nitropropane dioxygenas,Acidovorax citrulli AAC00-1,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
126,2-nitropropane dioxygenas,Congregibacter litoralis KT71,4.13,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
127,2-nitropropane dioxygenas,Gluconacetobacter hansenii ATCC 23769,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
128,2-nitropropane dioxygenas,Rhodobacteraceae bacterium HTCC2150,10.63,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
129,2-nitropropane dioxygenase,Dokdonia donghaensis MED134,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
130,2-nitropropane dioxygenase,gamma proteobacterium HTCC2207,1.65,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
131,2-nitropropane dioxygenase NPD,Sphaerobacter thermophilus DSM 20745,0.0,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae
132,2-octaprenyl-6-methoxyphenyl hydroxylase,marine gamma proteobacterium HTCC2080,6.59,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
133,2-oxo-acid dehydrogenase E1 subuni,Hyphomicrobium denitrificans ATCC 51888,1.59,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae
134,2-oxo-acid dehydrogenase E1 subuni,Pirellula staleyi DSM 6068,2.54,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
135,2-oxo-acid dehydrogenase E1 subuni,Thermus aquaticus Y51MC23,1.6,,Deinococci,Thermales,Thermaceae
136,2-oxo-hepta-3-ene-,Ruegeria pomeroyi DSS-3,21.92,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
137,2-oxoacid dehydrogenase subunit E1,Burkholderia ambifaria AMMD,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
138,2-oxoacid dehydrogenase subunit E1,Burkholderia ambifaria MC40-6,1.69,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
139,2-oxoacid ferredoxin oxidoreductase,Burkholderia oklahomensis EO147,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
140,2-oxoacid:ferredoxin/flavodoxin oxidoreductase,Burkholderia pseudomallei Pakistan 9,2.53,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
141,2-oxoglutarate decarboxylase,marine actinobacterium PHSC20C1,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
142,2-oxoglutarate dehydrogenas,Deinococcus radiodurans R1,2.55,,Deinococci,Deinococcales,Deinococcaceae
143,2-oxoglutarate dehydrogenas,Loktanella vestfoldensis SKA53,9.15,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
144,2-oxoglutarate dehydrogenase E1 component,Brucella suis bv. 4 str. 40,9.07,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae
145,2-oxoglutarate dehydrogenase E1 component,Intrasporangium calvum DSM 43043,0.0,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae
146,2-oxoglutarate dehydrogenase E1 component,Mesorhizobium loti MAFF303099,2.48,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae
147,2-oxoglutarate dehydrogenase E1 component,Nitrosococcus oceani ATCC 19707,2.47,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae
148,2-oxoglutarate dehydrogenase E1 component,Pelobacter carbinolicus DSM 2380,0.0,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
149,2-oxoglutarate dehydrogenase E1 component,Rhodobacter sphaeroides ATCC 17025,13.09,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
150,2-oxoglutarate dehydrogenase E1 component,Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
151,2-oxoglutarate dehydrogenase E1 component,Vibrio coralliilyticus ATCC BAA-450,0.0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
152,2-oxoglutarate dehydrogenase E2 component,Chromohalobacter salexigens DSM 3043,1.76,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
153,2-oxoglutarate dehydrogenase E2 component,Rhodospirillum rubrum ATCC 11170,4.15,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
154,2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,4.12,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
155,2-oxoglutarate ferredoxin oxidoreductase subunit beta,Methanosarcina mazei Go1,0.0,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
156,2-oxoisovalerate dehydrogenase E2 componen,Algoriphagus sp. PR1,1.55,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae
157,2-polyprenyl-3-methyl-6-methoxy-,Ralstonia solanacearum UW551,3.37,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
158,2-polyprenylphenol 6-hydroxylase,Marinobacter sp. ELB17,1.65,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
159,2-polyprenylphenol 6-hydroxylase,Pseudomonas syringae pv. tabaci ATCC 11528,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
160,2-polyprenylphenol 6-hydroxylase,Roseobacter sp. MED193,1.57,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
161,2-polyprenylphenol 6-hydroxylase,gamma proteobacterium HTCC5015,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
162,2-succinyl-6-hydroxy-,Cytophaga hutchinsonii ATCC 33406,1.62,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae
163,2-succinyl-6-hydroxy-,unidentified eubacterium SCB49,0.0,,,,
164,2-vinyl bacteriochlorophyllide hydratase,Congregibacter litoralis KT71,5.74,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
165,20S proteasome A and B,Eubacterium limosum KIST612,0.0,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae
166,23S rRNA (Uracil-5-)-methyltransferase rumA,Oceanicola batsensis HTCC2597,1.68,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
167,23S rRNA (guanosine-2''-O-)-methyltransferase,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,3.32,Bacteroidetes,Bacteroidia,Bacteroidales,
168,23S rRNA (guanosine-2''-O-)-methyltransferase,Shewanella baltica OS155,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
169,23S rRNA (uracil-5-)-methyltransferase RumA,Saccharophagus degradans 2-40,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
170,23S rRNA methyltransferase J,Vibrio vulnificus CMCP6,3.25,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
171,23S rRNA pseudouridine synthase D,Escherichia coli OP50,1.56,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
172,2OG-Fe(II) oxygenase superfamily protein,Congregibacter litoralis KT71,1.65,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
173,3'' exoribonuclease famil,Rhodobacteraceae bacterium HTCC2083,1.7,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
174,3''(2'',Acinetobacter baumannii ATCC 19606,3.27,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
175,3''(2'',Rhodobacteraceae bacterium KLH11,2.47,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
