,gene function,organism,nador_2_counts,phylum,class,order,family
33,1-aminocyclopropane-1-carboxylate deaminase,Anabaena variabilis ATCC 29413,0.0,Cyanobacteria,,Nostocales,Nostocaceae
34,1-aminocyclopropane-1-carboxylate deaminase,Flavobacteria bacterium MS024-2A,5.8,Bacteroidetes,Flavobacteriia,,
35,1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,1.7,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
36,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Brachyspira murdochii DSM 12563,2.53,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae
37,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Candidatus Koribacter versatilis Ellin345,0.0,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae
38,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Congregibacter litoralis KT71,1.63,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
39,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,1.58,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae
40,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodobacteraceae bacterium KLH11,3.23,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
41,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodococcus erythropolis SK121,0.0,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
42,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Salmonella enterica subsp. enterica serovar Kentucky str. CDC 191,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
43,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Sphingopyxis alaskensis RB2256,0.0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
44,1-deoxy-D-xylulose 5-phosphate reductoisomerase,uncultured Termite group 1 bacterium phylotype Rs-D17,0.0,Elusimicrobia,,,
45,1-deoxy-D-xylulose-5-phosphate synthase,Acetobacter pasteurianus IFO 3283-01,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
46,1-deoxy-D-xylulose-5-phosphate synthase,Azoarcus sp. BH72,1.64,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
47,1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,2.48,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
48,1-deoxy-D-xylulose-5-phosphate synthase,Burkholderia pseudomallei 305,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
49,1-deoxy-D-xylulose-5-phosphate synthase,Desulfotalea psychrophila LSv54,3.34,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae
50,1-deoxy-D-xylulose-5-phosphate synthase,Methylobacterium nodulans ORS 2060,1.53,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae
51,1-deoxy-D-xylulose-5-phosphate synthase,Methylococcus capsulatus str. Bath,2.57,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae
52,1-deoxy-D-xylulose-5-phosphate synthase,Pseudomonas fluorescens Pf-5,1.67,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
53,1-deoxy-D-xylulose-5-phosphate synthase,Rhodococcus jostii RHA1,0.0,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae
54,1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,3.25,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
55,1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,8.34,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
56,1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. CC9902,5.71,Cyanobacteria,,Synechococcales,Synechococcaceae
57,1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. PCC 7335,0.0,Cyanobacteria,,Synechococcales,Synechococcaceae
58,1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. WH 7803,3.38,Cyanobacteria,,Synechococcales,Synechococcaceae
59,1-deoxy-D-xylulose-5-phosphate synthase,Thermomicrobium roseum DSM 5159,1.67,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae
60,1-deoxy-xylulose 5-phosphate synthase,Thermodesulfovibrio yellowstonii DSM 11347,0.0,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae
61,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Methylobacter tundripaludum SV96,0.0,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae
62,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,1.57,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae
63,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Vibrio sp. Ex25,0.0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
64,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase.,Alcanivorax borkumensis SK2,2.49,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
65,1-pyrroline-5-carboxylate dehydrogenase,Deferribacter desulfuricans SSM1,4.02,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae
66,10 Kd chaperone GroES,Pelobacter carbinolicus DSM 2380,0.0,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
67,14-3-3 protein,Tetrahymena thermophila,0.0,,Oligohymenophorea,Hymenostomatida,Tetrahymenidae
68,16S rRNA m(7)G-527 methyltransferase,Mucilaginibacter paludis DSM 18603,0.0,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
69,16S rRNA processing protein,Croceibacter atlanticus HTCC2559,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
70,16S rRNA processing protein RimM,Capnocytophaga ochracea DSM 7271,2.57,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
71,16S rRNA processing protein RimM,Citreicella sp. SE45,3.13,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
72,16S rRNA-processing protein,Synechococcus sp. WH 5701,0.0,Cyanobacteria,,Synechococcales,Synechococcaceae
73,16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,1.56,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae
74,16S rRNA-processing protein RimM,Pseudomonas aeruginosa PAO1,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
75,16S ribosomal RNA methyltransferase RsmE,Synechococcus sp. CC9902,1.69,Cyanobacteria,,Synechococcales,Synechococcaceae
76,1A family penicillin-binding protein,Synechococcus sp. JA-3-3Ab,0.0,Cyanobacteria,,Synechococcales,Synechococcaceae
77,1D-myo-inosityl-2-acetamido-2-deoxy-alpha-D-gluc opyranosidedeacetylase,Thermobispora bispora DSM 43833,0.0,Actinobacteria,Actinobacteria,,
78,2''-deoxycytidine 5''-triphosphate deaminase,Bradyrhizobium sp. ORS278,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
79,2''-deoxycytidine 5''-triphosphate deaminase,Roseobacter sp. MED193,12.29,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
80,2-C-methyl-D-erythritol,Bacillus cereus ATCC 10987,0.0,Firmicutes,Bacilli,Bacillales,Bacillaceae
81,2-C-methyl-D-erythritol,Haemophilus somnus 129PT,0.0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
82,2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,0.0,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
83,2-C-methyl-D-erythritol,Pseudomonas syringae pv. tabaci ATCC 11528,3.3,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
84,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Synechococcus sp. WH 8109,5.64,Cyanobacteria,,Synechococcales,Synechococcaceae
85,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,gamma proteobacterium HTCC2207,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
86,2-acyl-glycerophospho-ethanolamine acyltransferase,Rhodopirellula baltica SH 1,1.66,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
87,2-amino-3-ketobutyrate coenzyme A ligase,Colwellia psychrerythraea 34H,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae
88,2-amino-3-ketobutyrate coenzyme A ligase,Enterobacter cloacae subsp. cloacae ATCC 13047,0.0,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
89,2-amino-3-ketobutyrate coenzyme A ligase,Ralstonia pickettii 12D,1.65,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
90,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Methylococcus capsulatus str. Bath,0.0,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae
91,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Parvularcula bermudensis HTCC2503,0.0,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae
92,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Ruegeria sp. TM1040,3.33,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
93,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Synechococcus sp. WH 8102,3.98,Cyanobacteria,,Synechococcales,Synechococcaceae
94,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Syntrophothermus lipocalidus DSM 12680,0.0,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae
95,2-aminoethylphosphonate ABC transport syste,Sinorhizobium meliloti BL225C,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae
96,2-aminoethylphosphonate--pyruvate transaminase,Thalassiobium sp. R2A62,2.49,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
97,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Pseudomonas syringae pv. phaseolicola 1448A,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
98,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Roseobacter denitrificans OCh 114,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
99,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Ruegeria sp. R11,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
100,2-dehydro-3-deoxygalactonokinase,Dinoroseobacter shibae DFL 12,5.13,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
101,2-dehydro-3-deoxyglucarate aldolase,Methanococcoides burtonii DSM 6242,3.31,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
102,2-dehydro-3-deoxyglucarate aldolase,Rhodobacterales bacterium HTCC2255,1.59,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
103,2-dehydro-3-deoxyphosphogluconate aldolase,Pseudomonas fluorescens WH6,0.0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
104,2-dehydro-3-deoxyphosphogluconate aldolase / 4-hydroxy-2-oxoglutarate aldolase,Helicobacter acinonychis str. Sheeba,0.0,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
105,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,Roseobacter sp. CCS2,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
106,2-dehydro-3-deoxyphosphooctonate aldolase,Coxiella burnetii CbuK_Q154,0.0,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae
107,2-dehydro-3-deoxyphosphooctonate aldolase,Rhodopseudomonas palustris BisA53,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
108,2-dehydro-3-deoxyphosphooctonate aldolase,Roseobacter denitrificans OCh 114,3.34,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
109,2-dehydropantoate 2-reductase,Burkholderia sp. CCGE1001,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
110,2-dehydropantoate 2-reductase,Rhodobacter sphaeroides 2.4.1,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
111,2-deoxy-D-gluconate 3-dehydrogenase,Caldicellulosiruptor saccharolyticus DSM 8903,0.0,Firmicutes,Clostridia,Thermoanaerobacterales,
112,2-desacetyl-2-hydroxyethyl bacteriochlorophyllide,Rhodospirillum rubrum ATCC 11170,2.55,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
113,2-hydroxy-3-oxopropionate reductase,Arthrobacter aurescens TC1,1.64,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae
114,2-hydroxy-3-oxopropionate reductase,Pirellula staleyi DSM 6068,0.0,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
115,2-hydroxy-3-oxopropionate reductase,Shewanella denitrificans OS217,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
116,2-hydroxyacid dehydrogenas,alpha proteobacterium BAL199,0.0,Proteobacteria,Alphaproteobacteria,,
117,2-hydroxyhepta-,Rhodobacteraceae bacterium HTCC2083,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
118,2-hydroxypent-,Pseudomonas putida,2.53,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
119,2-isopropylmalate synthase,Alcanivorax borkumensis SK2,0.0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae
120,2-isopropylmalate synthase,Azospirillum sp. B510,2.54,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
121,2-isopropylmalate synthase,Corynebacterium glucuronolyticum ATCC 51866,0.0,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae
122,2-isopropylmalate synthase,Haemophilus influenzae Rd KW20,2.36,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
123,2-isopropylmalate synthase,Marinobacter aquaeolei VT8,7.55,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
124,2-isopropylmalate synthase,Nitrobacter winogradskyi Nb-255,20.46,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
125,2-isopropylmalate synthase,Rhodomicrobium vannielii ATCC 17100,4.02,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae
126,2-isopropylmalate synthase,Stackebrandtia nassauensis DSM 44728,0.0,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae
127,2-isopropylmalate synthase,beta proteobacterium KB13,4.72,Proteobacteria,Betaproteobacteria,Methylophilales,
128,2-isopropylmalate synthase/homocitrate synthase family protein,Rhodobacterales bacterium Y4I,4.02,Proteobacteria,Alphaproteobacteria,Rhodobacterales,
129,2-keto-3-deoxy-6-phosphogluconate aldolase,Helicobacter pylori J99,3.39,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
130,2-keto-3-deoxy-D-arabino-heptulosonate-7- phosphate synthase I alpha,Vibrio cholerae CIRS101,0.0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
131,2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-,Planctomyces maris DSM 8797,0.0,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
132,2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1 7-dioic acid hydratase,Rhodobacter sphaeroides 2.4.1,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
133,2-ketoglutarate: NADP oxidoreductas,Aromatoleum aromaticum EbN1,3.47,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae
134,2-methylcitrate dehydratase,Bacillus clausii KSM-K16,0.0,Firmicutes,Bacilli,Bacillales,Bacillaceae
135,2-methylcitrate dehydratase,Stenotrophomonas maltophilia R551-3,2.52,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
136,2-methylcitrate dehydratase,beta proteobacterium KB13,4.92,Proteobacteria,Betaproteobacteria,Methylophilales,
137,2-methylcitrate synthase/citrate synthase II,Methylotenera sp. 301,2.58,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae
138,2-methylisocitrate lyase,Marinobacter sp. ELB17,0.0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
139,2-methylisocitrate lyase,Shewanella denitrificans OS217,1.68,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
140,2-methylthioadenine synthetase,Francisella philomiragia subsp. philomiragia ATCC 25015,0.0,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae
141,2-nitropropane dioxygenas,Acidovorax citrulli AAC00-1,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
142,2-nitropropane dioxygenas,Congregibacter litoralis KT71,3.23,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
143,2-nitropropane dioxygenas,Gluconacetobacter hansenii ATCC 23769,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
144,2-nitropropane dioxygenas,Rhodobacteraceae bacterium HTCC2150,8.32,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
145,2-nitropropane dioxygenase,Bradyrhizobium japonicum USDA 110,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae
146,2-nitropropane dioxygenase,Dokdonia donghaensis MED134,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
147,2-octaprenyl-6-methoxyphenyl hydroxylase,Neptuniibacter caesariensis,1.72,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae
148,2-octaprenyl-6-methoxyphenyl hydroxylase,marine gamma proteobacterium HTCC2080,1.64,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae
149,2-oxo-acid dehydrogenase E1 component,Burkholderia mallei 2002721280,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
150,2-oxo-acid dehydrogenase E1 subuni,Hyphomicrobium denitrificans ATCC 51888,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae
151,2-oxo-acid dehydrogenase E1 subuni,Pirellula staleyi DSM 6068,0.0,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae
152,2-oxo-acid dehydrogenase E1 subuni,Thermus aquaticus Y51MC23,1.69,,Deinococci,Thermales,Thermaceae
153,2-oxo-hepta-3-ene-,Ruegeria pomeroyi DSS-3,18.65,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
154,2-oxoacid dehydrogenase subunit E1,Bordetella pertussis Tohama I,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
155,2-oxoacid dehydrogenase subunit E1,Burkholderia ambifaria MC40-6,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
156,2-oxoacid ferredoxin oxidoreductase,Burkholderia pseudomallei 91,2.46,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
157,2-oxoacid:ferredoxin/flavodoxin oxidoreductase,Burkholderia pseudomallei Pakistan 9,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
158,2-oxoglutarate decarboxylase,marine actinobacterium PHSC20C1,0.0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae
159,2-oxoglutarate dehydrogenas,Loktanella vestfoldensis SKA53,9.06,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
160,2-oxoglutarate dehydrogenas,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,0.0,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae
161,2-oxoglutarate dehydrogenas,Pelagibaca bermudensis HTCC2601,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
162,2-oxoglutarate dehydrogenase E1 component,Brucella suis bv. 4 str. 40,9.12,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae
163,2-oxoglutarate dehydrogenase E1 component,Intrasporangium calvum DSM 43043,0.0,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae
164,2-oxoglutarate dehydrogenase E1 component,Mesorhizobium loti MAFF303099,1.68,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae
165,2-oxoglutarate dehydrogenase E1 component,Nitrosococcus oceani ATCC 19707,1.7,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae
166,2-oxoglutarate dehydrogenase E1 component,Pelobacter carbinolicus DSM 2380,1.69,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae
167,2-oxoglutarate dehydrogenase E1 component,Rhodobacter sphaeroides ATCC 17025,9.12,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
168,2-oxoglutarate dehydrogenase E2 component,Chromohalobacter salexigens DSM 3043,1.67,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae
169,2-oxoglutarate dehydrogenase E2 component,Rhodospirillum rubrum ATCC 11170,3.29,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
170,2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,4.89,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
171,2-oxoglutarate ferredoxin oxidoreductase subunit beta,Methanosarcina mazei Go1,0.0,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
