gene function,organism,counts,nador_2_counts
1-pyrroline-5-carboxylate dehydrogenase,Deferribacter desulfuricans SSM1,5,4.02
10 Kd chaperone GroES,Pelobacter carbinolicus DSM 2380,1,0.0
14-3-3 protein,Tetrahymena thermophila,1,0.0
16S rRNA m(7)G-527 methyltransferase,Mucilaginibacter paludis DSM 18603,1,0.0
16S rRNA processing protein,Croceibacter atlanticus HTCC2559,1,0.0
16S rRNA processing protein RimM,Capnocytophaga ochracea DSM 7271,3,2.52
16S rRNA processing protein RimM,Citreicella sp. SE45,4,3.25
16S rRNA-processing protein,Synechococcus sp. WH 5701,1,0.0
16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,2,1.67
16S rRNA-processing protein RimM,Pseudomonas aeruginosa PAO1,1,0.0
16S ribosomal RNA methyltransferase RsmE,Synechococcus sp. CC9902,2,1.67
1A family penicillin-binding protein,Synechococcus sp. JA-3-3Ab,1,0.0
1D-myo-inosityl-2-acetamido-2-deoxy-alpha-D-gluc opyranosidedeacetylase,Thermobispora bispora DSM 43833,1,0.0
2''-deoxycytidine 5''-triphosphate deaminase,Bradyrhizobium sp. ORS278,1,0.0
2''-deoxycytidine 5''-triphosphate deaminase,Roseobacter sp. MED193,15,12.31
2-C-methyl-D-erythritol,Bacillus cereus ATCC 10987,1,0.0
2-C-methyl-D-erythritol,Haemophilus somnus 129PT,1,0.0
2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,1,0.0
2-C-methyl-D-erythritol,Pseudomonas syringae pv. tabaci ATCC 11528,4,3.36
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Synechococcus sp. WH 8109,7,5.77
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,gamma proteobacterium HTCC2207,1,0.0
2-acyl-glycerophospho-ethanolamine acyltransferase,Rhodopirellula baltica SH 1,2,1.62
2-amino-3-ketobutyrate coenzyme A ligase,Colwellia psychrerythraea 34H,1,0.0
2-amino-3-ketobutyrate coenzyme A ligase,Enterobacter cloacae subsp. cloacae ATCC 13047,1,0.0
2-amino-3-ketobutyrate coenzyme A ligase,Ralstonia pickettii 12D,2,1.65
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Methylococcus capsulatus str. Bath,1,0.0
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Parvularcula bermudensis HTCC2503,1,0.0
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Ruegeria sp. TM1040,4,3.25
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Synechococcus sp. WH 8102,5,4.2
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Syntrophothermus lipocalidus DSM 12680,1,0.0
2-aminoethylphosphonate ABC transport syste,Sinorhizobium meliloti BL225C,1,0.0
2-aminoethylphosphonate--pyruvate transaminase,Thalassiobium sp. R2A62,3,2.51
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Pseudomonas syringae pv. phaseolicola 1448A,1,0.0
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Roseobacter denitrificans OCh 114,1,0.0
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Ruegeria sp. R11,1,0.0
2-dehydro-3-deoxygalactonokinase,Dinoroseobacter shibae DFL 12,6,4.73
2-dehydro-3-deoxyglucarate aldolase,Methanococcoides burtonii DSM 6242,4,3.17
2-dehydro-3-deoxyglucarate aldolase,Rhodobacterales bacterium HTCC2255,2,1.6
2-dehydro-3-deoxyphosphogluconate aldolase,Pseudomonas fluorescens WH6,1,0.0
2-dehydro-3-deoxyphosphogluconate aldolase / 4-hydroxy-2-oxoglutarate aldolase,Helicobacter acinonychis str. Sheeba,1,0.0
2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,Roseobacter sp. CCS2,1,0.0
2-dehydro-3-deoxyphosphooctonate aldolase,Coxiella burnetii CbuK_Q154,1,0.0
2-dehydro-3-deoxyphosphooctonate aldolase,Rhodopseudomonas palustris BisA53,1,0.0
2-dehydro-3-deoxyphosphooctonate aldolase,Roseobacter denitrificans OCh 114,4,3.28
2-dehydropantoate 2-reductase,Burkholderia sp. CCGE1001,1,0.0
2-dehydropantoate 2-reductase,Rhodobacter sphaeroides 2.4.1,1,0.0
2-deoxy-D-gluconate 3-dehydrogenase,Caldicellulosiruptor saccharolyticus DSM 8903,1,0.0
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide,Rhodospirillum rubrum ATCC 11170,3,2.47
2-hydroxy-3-oxopropionate reductase,Arthrobacter aurescens TC1,2,1.59
2-hydroxy-3-oxopropionate reductase,Pirellula staleyi DSM 6068,1,0.0
2-hydroxy-3-oxopropionate reductase,Shewanella denitrificans OS217,1,0.0
2-hydroxyacid dehydrogenas,alpha proteobacterium BAL199,1,0.0
2-hydroxyhepta-,Rhodobacteraceae bacterium HTCC2083,1,0.0
2-hydroxypent-,Pseudomonas putida,3,2.45
2-isopropylmalate synthase,Alcanivorax borkumensis SK2,1,0.0
2-isopropylmalate synthase,Azospirillum sp. B510,3,2.45
2-isopropylmalate synthase,Corynebacterium glucuronolyticum ATCC 51866,1,0.0
2-isopropylmalate synthase,Haemophilus influenzae Rd KW20,3,2.46
2-isopropylmalate synthase,Marinobacter aquaeolei VT8,9,7.41
2-isopropylmalate synthase,Nitrobacter winogradskyi Nb-255,25,20.6
2-isopropylmalate synthase,Rhodomicrobium vannielii ATCC 17100,5,4.29
2-isopropylmalate synthase,Stackebrandtia nassauensis DSM 44728,1,0.0
2-isopropylmalate synthase,beta proteobacterium KB13,6,4.83
2-isopropylmalate synthase/homocitrate synthase family protein,Rhodobacterales bacterium Y4I,5,4.08
2-keto-3-deoxy-6-phosphogluconate aldolase,Helicobacter pylori J99,4,3.29
2-keto-3-deoxy-D-arabino-heptulosonate-7- phosphate synthase I alpha,Vibrio cholerae CIRS101,1,0.0
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-,Planctomyces maris DSM 8797,1,0.0
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1 7-dioic acid hydratase,Rhodobacter sphaeroides 2.4.1,1,0.0
2-ketoglutarate: NADP oxidoreductas,Aromatoleum aromaticum EbN1,4,3.33
2-methylcitrate dehydratase,Bacillus clausii KSM-K16,1,0.0
2-methylcitrate dehydratase,Stenotrophomonas maltophilia R551-3,3,2.41
2-methylcitrate dehydratase,beta proteobacterium KB13,6,4.87
2-methylcitrate synthase/citrate synthase II,Methylotenera sp. 301,3,2.4
2-methylisocitrate lyase,Marinobacter sp. ELB17,1,0.0
2-methylisocitrate lyase,Shewanella denitrificans OS217,2,1.56
2-methylthioadenine synthetase,Francisella philomiragia subsp. philomiragia ATCC 25015,1,0.0
2-nitropropane dioxygenas,Acidovorax citrulli AAC00-1,1,0.0
2-nitropropane dioxygenas,Congregibacter litoralis KT71,4,3.39
2-nitropropane dioxygenas,Gluconacetobacter hansenii ATCC 23769,1,0.0
2-nitropropane dioxygenas,Rhodobacteraceae bacterium HTCC2150,10,8.27
2-nitropropane dioxygenase,Bradyrhizobium japonicum USDA 110,1,0.0
2-nitropropane dioxygenase,Dokdonia donghaensis MED134,1,0.0
2-octaprenyl-6-methoxyphenyl hydroxylase,Neptuniibacter caesariensis,2,1.6
2-octaprenyl-6-methoxyphenyl hydroxylase,marine gamma proteobacterium HTCC2080,2,1.7
2-oxo-acid dehydrogenase E1 component,Burkholderia mallei 2002721280,1,0.0
2-oxo-acid dehydrogenase E1 subuni,Hyphomicrobium denitrificans ATCC 51888,1,0.0
2-oxo-acid dehydrogenase E1 subuni,Pirellula staleyi DSM 6068,1,0.0
2-oxo-acid dehydrogenase E1 subuni,Thermus aquaticus Y51MC23,2,1.64
2-oxo-hepta-3-ene-,Ruegeria pomeroyi DSS-3,23,18.61
2-oxoacid dehydrogenase subunit E1,Bordetella pertussis Tohama I,1,0.0
2-oxoacid dehydrogenase subunit E1,Burkholderia ambifaria MC40-6,1,0.0
2-oxoacid ferredoxin oxidoreductase,Burkholderia pseudomallei 91,3,2.59
2-oxoacid:ferredoxin/flavodoxin oxidoreductase,Burkholderia pseudomallei Pakistan 9,1,0.0
2-oxoglutarate decarboxylase,marine actinobacterium PHSC20C1,1,0.0
2-oxoglutarate dehydrogenas,Loktanella vestfoldensis SKA53,11,9.03
2-oxoglutarate dehydrogenas,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,1,0.0
2-oxoglutarate dehydrogenas,Pelagibaca bermudensis HTCC2601,1,0.0
2-oxoglutarate dehydrogenase E1 component,Brucella suis bv. 4 str. 40,11,9.14
2-oxoglutarate dehydrogenase E1 component,Intrasporangium calvum DSM 43043,1,0.0
2-oxoglutarate dehydrogenase E1 component,Mesorhizobium loti MAFF303099,2,1.53
2-oxoglutarate dehydrogenase E1 component,Nitrosococcus oceani ATCC 19707,2,1.65
2-oxoglutarate dehydrogenase E1 component,Pelobacter carbinolicus DSM 2380,2,1.65
2-oxoglutarate dehydrogenase E1 component,Rhodobacter sphaeroides ATCC 17025,11,9.15
2-oxoglutarate dehydrogenase E2 component,Chromohalobacter salexigens DSM 3043,2,1.67
2-oxoglutarate dehydrogenase E2 component,Rhodospirillum rubrum ATCC 11170,4,3.31
2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,6,5.09
2-oxoglutarate ferredoxin oxidoreductase subunit beta,Methanosarcina mazei Go1,1,0.0
2-oxoisovalerate dehydrogenase E2 componen,Algoriphagus sp. PR1,1,0.0
2-phosphosulfolactate phosphatase,Synechococcus sp. RS9916,1,0.0
2-polyprenylphenol 6-hydroxylase,Bermanella marisrubri,1,0.0
2-polyprenylphenol 6-hydroxylase,Marinobacter sp. ELB17,2,1.63
2-polyprenylphenol 6-hydroxylase,Pseudomonas syringae pv. tabaci ATCC 11528,1,0.0
2-polyprenylphenol 6-hydroxylase,Roseobacter sp. MED193,4,3.21
2-polyprenylphenol 6-hydroxylase,Shewanella loihica PV-4,1,0.0
2-succinyl-6-hydroxy-,unidentified eubacterium SCB49,2,1.74
2-vinyl bacteriochlorophyllide hydratase,Congregibacter litoralis KT71,3,2.56
2-vinyl bacteriochlorophyllide hydratase,Rhodopseudomonas palustris BisB18,1,0.0
20S proteasome A and B,Eubacterium limosum KIST612,4,3.21
23S rRNA (Uracil-5-)-methyltransferase rumA,Oceanicola batsensis HTCC2597,1,0.0
23S rRNA (guanosine-2''-O-)-methyltransferase,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,3,2.49
23S rRNA (uracil-5-)-methyltransferase RumA,Saccharophagus degradans 2-40,1,0.0
23S rRNA methyltransferase J,Vibrio vulnificus CMCP6,5,4.24
23S rRNA methyltransferase/RumA,marine actinobacterium PHSC20C1,1,0.0
23S rRNA pseudouridine synthase D,Haemophilus somnus 129PT,1,0.0
28S ribosomal RNA,Barssia oregonensis,1,0.0
2OG-Fe(II) oxygenase superfamily protein,Congregibacter litoralis KT71,2,1.66
3'' exoribonuclease famil,Rhodobacteraceae bacterium HTCC2083,7,5.79
3''(2'',Acinetobacter baumannii ATCC 19606,1,0.0
3''(2'',Rhodobacteraceae bacterium KLH11,2,1.62
3''(2'',Roseobacter sp. CCS2,3,2.48
3''-5'' exonuclease family protein,alpha proteobacterium HIMB114,3,2.45
3''-5'' exoribonucleas,marine gamma proteobacterium HTCC2080,5,4.21
3''-Phosphoadenosine 5''-phosphosulfate (PAPS) 3''-phosphatase,Psychroflexus torquis ATCC 700755,20,16.92
3(2,Candidatus Pelagibacter sp. HTCC7211,72,59.25
3-beta hydroxysteroid dehydrogenase/isomerase,Geobacter uraniireducens Rf4,1,0.0
3-beta hydroxysteroid dehydrogenase/isomerase,Pelobacter propionicus DSM 2379,3,2.4
3-beta hydroxysteroid dehydrogenase/isomerase family,Microcoleus chthonoplastes PCC 7420,1,0.0
3-dehydroquinate dehydratas,Algoriphagus sp. PR1,3,2.47
3-dehydroquinate dehydratas,Clostridium hathewayi DSM 13479,1,0.0
3-dehydroquinate dehydratase,Bradyrhizobium sp. ORS278,1,0.0
3-dehydroquinate dehydratase,Flavobacteriales bacterium ALC-1,7,5.82
3-dehydroquinate dehydratase,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,5,4.11
3-dehydroquinate dehydratase,Fusobacterium nucleatum subsp. vincentii ATCC 49256,1,0.0
3-dehydroquinate dehydratase,Oceanicola granulosus HTCC2516,1,0.0
3-dehydroquinate dehydratase,Parvibaculum lavamentivorans DS-1,3,2.48
3-dehydroquinate dehydratase,Polaribacter sp. MED152,1,0.0
3-dehydroquinate dehydratase,Vibrionales bacterium SWAT-3,1,0.0
3-dehydroquinate dehydratase II,Deferribacter desulfuricans SSM1,1,0.0
3-dehydroquinate synthase,Clostridium botulinum A3 str. Loch Maree,2,1.63
3-dehydroquinate synthase,Flavobacteria bacterium BAL38,2,1.59
3-dehydroquinate synthase,Ketogulonicigenium vulgare Y25,2,1.66
3-dehydroquinate synthase,Polaribacter sp. MED152,1,0.0
3-dehydroquinate synthase,Pseudomonas fluorescens Pf0-1,1,0.0
3-dehydroquinate synthase,Rhodobacter capsulatus SB 1003,2,1.7
3-dehydroquinate synthase,Rhodopirellula baltica SH 1,1,0.0
3-dehydroquinate synthase,Synechococcus sp. RCC307,6,4.9
3-dehydroquinate synthetase,Idiomarina loihiensis L2TR,5,4.03
3-demethylubiquinone-9 3-methyltransferase,Bartonella henselae str. Houston-1,2,1.63
3-demethylubiquinone-9 3-methyltransferase,Loktanella vestfoldensis SKA53,4,3.42
3-demethylubiquinone-9 3-methyltransferase,Pseudomonas entomophila L48,9,7.28
3-demethylubiquinone-9 3-methyltransferase,Synechococcus sp. RS9916,1,0.0
3-deoxy-7-phosphoheptulonate synthase,Granulibacter bethesdensis CGDNIH1,1,0.0
3-deoxy-7-phosphoheptulonate synthase,Psychroflexus torquis ATCC 700755,3,2.45
3-deoxy-7-phosphoheptulonate synthase,Reinekea blandensis MED297,2,1.65
3-deoxy-7-phosphoheptulonate synthase,Rhodospirillum centenum SW,3,2.47
3-deoxy-7-phosphoheptulonate synthase,Sulfurimonas denitrificans DSM 1251,8,6.7
3-deoxy-D-manno- octulosonatecytidylyltransferase,Capnocytophaga ochracea DSM 7271,1,0.0
3-deoxy-D-manno-octulosonate 8-phosphate phosphatas,Geobacter lovleyi SZ,1,0.0
3-deoxy-D-manno-octulosonate cytidylyltransferase,Rhodomicrobium vannielii ATCC 17100,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Psychrobacter sp. PRwf-1,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Ralstonia solanacearum CFBP2957,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Shewanella pealeana ATCC 700345,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Vibrio sp. Ex25,2,1.78
3-hydroxyacyl-(acyl-carrier-protein) dehydratase,Riemerella anatipestifer DSM 15868,3,2.47
3-hydroxyacyl-CoA dehydrogenas,Marinobacter algicola DG893,1,0.0
3-hydroxyacyl-CoA dehydrogenas,Octadecabacter antarcticus 307,3,2.56
3-hydroxyacyl-CoA dehydrogenas,Rhodopseudomonas palustris BisB5,4,3.35
3-hydroxyacyl-CoA dehydrogenase,Burkholderia sp. CCGE1003,1,0.0
3-hydroxyacyl-CoA dehydrogenase,Citreicella sp. SE45,3,2.41
3-hydroxyacyl-CoA dehydrogenase,gamma proteobacterium HdN1,4,3.2
3-hydroxyacyl-CoA dehydrogenase NAD-binding,Desulfococcus oleovorans Hxd3,1,0.0
3-hydroxyacyl-CoA dehydrogenase NAD-binding,Shewanella woodyi ATCC 51908,1,0.0
3-hydroxyacyl-CoA dehydrogenase NAD-binding protein,Rhodomicrobium vannielii ATCC 17100,1,0.0
3-hydroxyacyl-CoA dehydrogenase NAD-binding protein,Spirosoma linguale DSM 74,1,0.0
3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase/carnithine racemase fusion,Maribacter sp. HTCC2170,30,24.83
3-hydroxyacyl-CoA dehydrogenase type II,gamma proteobacterium HdN1,2,1.68
3-hydroxybutyrate dehydrogenase,Burkholderia ambifaria AMMD,2,1.59
3-hydroxybutyrate dehydrogenase,Streptomyces violaceusniger Tu 4113,2,1.65
3-hydroxybutyrate dehydrogenase type 2,Roseobacter sp. GAI101,1,0.0
3-hydroxybutyryl-CoA dehydrogenase,Bradyrhizobium japonicum USDA 110,1,0.0
3-hydroxybutyryl-CoA dehydrogenase,Dokdonia donghaensis MED134,8,6.76
3-hydroxybutyryl-CoA dehydrogenase,Kordia algicida OT-1,2,1.7
3-hydroxybutyryl-CoA dehydrogenase,Maribacter sp. HTCC2170,1,0.0
3-hydroxybutyryl-coa dehydrogenase,Clostridium botulinum C str. Eklund,1,0.0
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Chelativorans sp. BNC1,1,0.0
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Citrobacter koseri ATCC BAA-895,8,6.53
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Comamonas testosteroni S44,1,0.0
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Oligotropha carboxidovorans OM5,5,4.02
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Teredinibacter turnerae T7901,6,4.97
3-hydroxydecanoyl-ACP dehydratase,Neptuniibacter caesariensis,3,2.51
3-hydroxyisobutyrate dehydrogenase,Ahrensia sp. R2A130,5,4.01
3-hydroxyisobutyrate dehydrogenase,Silicibacter sp. TrichCH4B,1,0.0
3-hydroxyisobutyrate dehydrogenase family protein,Ruegeria sp. R11,1,0.0
3-hydroxyisobutyrate dehydrogenase family protein,Thalassiobium sp. R2A62,5,4.1
3-isopropylmalate dehydratas,Aciduliprofundum boonei T469,1,0.0
3-isopropylmalate dehydratas,Flavobacterium johnsoniae UW101,12,9.86
3-isopropylmalate dehydratas,Magnetococcus sp. MC-1,7,5.87
3-isopropylmalate dehydratas,Neisseria lactamica ATCC 23970,1,0.0
3-isopropylmalate dehydratas,Streptomyces sp. ACT-1,1,0.0
3-isopropylmalate dehydratase small subunit,Azorhizobium caulinodans ORS 571,3,2.48
3-isopropylmalate dehydratase small subunit,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,1,0.0
3-isopropylmalate dehydratase small subunit,Candidatus Puniceispirillum marinum IMCC1322,10,8.35
3-isopropylmalate dehydratase small subunit,Dokdonia donghaensis MED134,1,0.0
3-isopropylmalate dehydratase small subunit,Ralstonia eutropha H16,5,4.12
3-isopropylmalate dehydrogenase,Acinetobacter sp. DR1,1,0.0
3-isopropylmalate dehydrogenase,Campylobacter jejuni RM1221,2,1.56
3-isopropylmalate dehydrogenase,Nitrosococcus halophilus Nc4,1,0.0
3-isopropylmalate dehydrogenase,Oceanicola batsensis HTCC2597,6,4.85
3-isopropylmalate dehydrogenase,Prochlorococcus marinus str. MIT 9313,1,0.0
3-isopropylmalate dehydrogenase,Sphingomonas wittichii RW1,2,1.57
3-isopropylmalate dehydrogenase,Synechococcus sp. WH 7805,4,3.26
3-keto-L-gulonate-6-phosphate decarboxylase,Shigella flexneri 5 str. 8401,1,0.0
3-ketoacyl-(acyl-carrier-protein) reductase,Burkholderia pseudomallei K96243,1,0.0
3-ketoacyl-(acyl-carrier-protein) reductase,Dinoroseobacter shibae DFL 12,3,2.43
3-ketoacyl-(acyl-carrier-protein) reductase,Mycobacterium avium 104,3,2.51
3-ketoacyl-(acyl-carrier-protein) reductase,Polaromonas sp. JS666,1,0.0
3-ketoacyl-(acyl-carrier-protein) reductase,Synechocystis sp. PCC 6803,10,8.3
3-ketoacyl-CoA thiolase,Gramella forsetii KT0803,13,10.77
3-ketoacyl-CoA thiolase,Perkinsus marinus ATCC 50983,1,0.0
3-mercaptopyruvate sulfurtransferase,Escherichia coli B171,1,0.0
3-mercaptopyruvate sulfurtransferase,Vibrio fischeri ES114,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Anaplasma centrale str. Israel,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Aquifex aeolicus VF5,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Bdellovibrio bacteriovorus HD100,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Clostridium difficile NAP08,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Flavobacterium johnsoniae UW101,37,30.11
3-methyl-2-oxobutanoate hydroxymethyltransferase,Flavobacterium psychrophilum JIP02/86,5,4.18
3-methyl-2-oxobutanoate hydroxymethyltransferase,Geobacillus sp. G11MC16,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Marinobacter aquaeolei VT8,4,3.2
3-methyl-2-oxobutanoate hydroxymethyltransferase,Mesorhizobium loti MAFF303099,3,2.48
3-methyl-2-oxobutanoate hydroxymethyltransferase,Rhodopseudomonas palustris HaA2,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Synechococcus sp. WH 8109,15,12.1
3-methyl-2-oxobutanoate hydroxymethyltransferase,Thermobifida fusca YX,4,3.22
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,Ralstonia eutropha H16,1,0.0
3-methylcrotonoyl-CoA carboxylas,Shewanella sp. ANA-3,1,0.0
3-methylcrotonyl CoA carboxylas,Neptuniibacter caesariensis,1,0.0
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Alcanivorax borkumensis SK2,5,4.12
