gene function,organism,counts,nador_1_counts
2-dehydro-3-deoxyphosphooctonate aldolase,Lentisphaera araneosa HTCC2155,1,0.0
2-dehydro-3-deoxyphosphooctonate aldolase,Rhodopseudomonas palustris BisA53,1,0.0
2-dehydro-3-deoxyphosphooctonate aldolase,Roseobacter denitrificans OCh 114,4,3.25
2-dehydropantoate 2-reductase,Burkholderia phymatum STM815,3,2.53
2-dehydropantoate 2-reductase,Burkholderia pseudomallei 1710b,1,0.0
2-dehydropantoate 2-reductase,Rhodobacter sphaeroides 2.4.1,1,0.0
2-deoxy-D-gluconate 3-dehydrogenase,Caldicellulosiruptor saccharolyticus DSM 8903,2,1.63
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide,Rhodospirillum rubrum ATCC 11170,6,4.97
2-hydroxy-3-oxopropionate reductase,Pirellula staleyi DSM 6068,1,0.0
2-hydroxy-3-oxopropionate reductase,Shewanella denitrificans OS217,1,0.0
2-hydroxyacid dehydrogenas,alpha proteobacterium BAL199,1,0.0
2-hydroxypent-,Pseudomonas putida,5,4.22
2-isopropylmalate synthase,Azospirillum sp. B510,2,1.62
2-isopropylmalate synthase,Corynebacterium efficiens YS-314,2,1.6
2-isopropylmalate synthase,Haemophilus influenzae Rd KW20,1,0.0
2-isopropylmalate synthase,Marinobacter aquaeolei VT8,11,8.98
2-isopropylmalate synthase,Nitrobacter winogradskyi Nb-255,23,18.77
2-isopropylmalate synthase,Rhodomicrobium vannielii ATCC 17100,2,1.66
2-isopropylmalate synthase,Silicibacter sp. TrichCH4B,1,0.0
2-isopropylmalate synthase,beta proteobacterium KB13,8,6.7
2-isopropylmalate synthase,gamma proteobacterium NOR5-3,3,2.48
2-isopropylmalate synthase/homocitrate synthase family protein,Rhodobacterales bacterium Y4I,5,4.14
2-keto-3-deoxy-6-phosphogluconate aldolase,Helicobacter pylori J99,4,3.32
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1 7-dioic acid hydratase,Rhodobacter sphaeroides 2.4.1,3,2.56
2-ketoglutarate: NADP oxidoreductas,Aromatoleum aromaticum EbN1,6,5.02
2-methylcitrate dehydratase,Bacillus anthracis str. Western North America USA6153,3,2.45
2-methylcitrate dehydratase,Pseudomonas fluorescens WH6,1,0.0
2-methylcitrate synthase/citrate synthase II,Methylotenera sp. 301,3,2.38
2-methylisocitrate lyase,Marinobacter sp. ELB17,5,4.2
2-nitropropane dioxygenas,Acidovorax citrulli AAC00-1,1,0.0
2-nitropropane dioxygenas,Congregibacter litoralis KT71,5,4.1
2-nitropropane dioxygenas,Gluconacetobacter hansenii ATCC 23769,1,0.0
2-nitropropane dioxygenas,Rhodobacteraceae bacterium HTCC2150,13,10.93
2-nitropropane dioxygenase,Dokdonia donghaensis MED134,1,0.0
2-nitropropane dioxygenase,gamma proteobacterium HTCC2207,2,1.65
2-nitropropane dioxygenase NPD,Sphaerobacter thermophilus DSM 20745,1,0.0
2-octaprenyl-6-methoxyphenyl hydroxylase,marine gamma proteobacterium HTCC2080,8,6.57
2-oxo-acid dehydrogenase E1 subuni,Hyphomicrobium denitrificans ATCC 51888,2,1.72
2-oxo-acid dehydrogenase E1 subuni,Pirellula staleyi DSM 6068,3,2.43
2-oxo-acid dehydrogenase E1 subuni,Thermus aquaticus Y51MC23,2,1.67
2-oxo-hepta-3-ene-,Ruegeria pomeroyi DSS-3,27,22.11
2-oxoacid dehydrogenase subunit E1,Burkholderia ambifaria AMMD,1,0.0
2-oxoacid dehydrogenase subunit E1,Burkholderia ambifaria MC40-6,2,1.77
2-oxoacid ferredoxin oxidoreductase,Burkholderia oklahomensis EO147,1,0.0
2-oxoacid:ferredoxin/flavodoxin oxidoreductase,Burkholderia pseudomallei Pakistan 9,3,2.49
2-oxoglutarate decarboxylase,marine actinobacterium PHSC20C1,1,0.0
2-oxoglutarate dehydrogenas,Deinococcus radiodurans R1,3,2.49
2-oxoglutarate dehydrogenas,Loktanella vestfoldensis SKA53,11,9.05
2-oxoglutarate dehydrogenase E1 component,Brucella suis bv. 4 str. 40,11,8.94
2-oxoglutarate dehydrogenase E1 component,Intrasporangium calvum DSM 43043,1,0.0
2-oxoglutarate dehydrogenase E1 component,Mesorhizobium loti MAFF303099,3,2.51
2-oxoglutarate dehydrogenase E1 component,Nitrosococcus oceani ATCC 19707,3,2.35
2-oxoglutarate dehydrogenase E1 component,Pelobacter carbinolicus DSM 2380,1,0.0
2-oxoglutarate dehydrogenase E1 component,Rhodobacter sphaeroides ATCC 17025,16,13.0
2-oxoglutarate dehydrogenase E1 component,Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594,1,0.0
2-oxoglutarate dehydrogenase E1 component,Vibrio coralliilyticus ATCC BAA-450,1,0.0
2-oxoglutarate dehydrogenase E2 component,Chromohalobacter salexigens DSM 3043,2,1.59
2-oxoglutarate dehydrogenase E2 component,Rhodospirillum rubrum ATCC 11170,5,4.08
2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,5,4.1
2-oxoglutarate ferredoxin oxidoreductase subunit beta,Methanosarcina mazei Go1,1,0.0
2-oxoisovalerate dehydrogenase E2 componen,Algoriphagus sp. PR1,2,1.74
2-polyprenyl-3-methyl-6-methoxy-,Ralstonia solanacearum UW551,4,3.29
2-polyprenylphenol 6-hydroxylase,Marinobacter sp. ELB17,2,1.73
2-polyprenylphenol 6-hydroxylase,Pseudomonas syringae pv. tabaci ATCC 11528,1,0.0
2-polyprenylphenol 6-hydroxylase,Roseobacter sp. MED193,2,1.58
2-polyprenylphenol 6-hydroxylase,gamma proteobacterium HTCC5015,1,0.0
2-succinyl-6-hydroxy-,Cytophaga hutchinsonii ATCC 33406,2,1.58
2-succinyl-6-hydroxy-,unidentified eubacterium SCB49,1,0.0
2-vinyl bacteriochlorophyllide hydratase,Congregibacter litoralis KT71,7,5.69
20S proteasome A and B,Eubacterium limosum KIST612,1,0.0
23S rRNA (Uracil-5-)-methyltransferase rumA,Oceanicola batsensis HTCC2597,2,1.59
23S rRNA (guanosine-2''-O-)-methyltransferase,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,4,3.28
23S rRNA (guanosine-2''-O-)-methyltransferase,Shewanella baltica OS155,1,0.0
23S rRNA (uracil-5-)-methyltransferase RumA,Saccharophagus degradans 2-40,1,0.0
23S rRNA methyltransferase J,Vibrio vulnificus CMCP6,4,3.38
23S rRNA pseudouridine synthase D,Escherichia coli OP50,2,1.56
2OG-Fe(II) oxygenase superfamily protein,Congregibacter litoralis KT71,2,1.64
3'' exoribonuclease famil,Rhodobacteraceae bacterium HTCC2083,2,1.76
3''(2'',Acinetobacter baumannii ATCC 19606,4,3.11
3''(2'',Rhodobacteraceae bacterium KLH11,3,2.37
3''(2'',Roseobacter sp. CCS2,1,0.0
3''-5'' exonuclease family protein,alpha proteobacterium HIMB114,1,0.0
3''-5'' exoribonucleas,marine gamma proteobacterium HTCC2080,5,4.15
3''-Phosphoadenosine 5''-phosphosulfate (PAPS) 3''-phosphatase,Psychroflexus torquis ATCC 700755,18,14.71
3(2,Candidatus Pelagibacter sp. HTCC7211,71,58.63
3-beta hydroxysteroid dehydrogenase/isomerase,Geobacter uraniireducens Rf4,4,3.31
3-carboxy-ci,Ketogulonicigenium vulgare Y25,1,0.0
3-chlorobenzoate-,Rhodopirellula baltica SH 1,1,0.0
3-dehydroquinate dehydratas,Algoriphagus sp. PR1,3,2.37
3-dehydroquinate dehydratas,Clostridium hathewayi DSM 13479,1,0.0
3-dehydroquinate dehydratase,Flavobacteriales bacterium ALC-1,6,4.75
3-dehydroquinate dehydratase,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,6,4.96
3-dehydroquinate dehydratase,Oceanicola granulosus HTCC2516,1,0.0
3-dehydroquinate dehydratase,Parvibaculum lavamentivorans DS-1,1,0.0
3-dehydroquinate dehydratase,Polaribacter sp. MED152,2,1.59
3-dehydroquinate synthase,Clostridium botulinum A3 str. Loch Maree,1,0.0
3-dehydroquinate synthase,Flavobacteria bacterium BAL38,1,0.0
3-dehydroquinate synthase,Ketogulonicigenium vulgare Y25,5,4.0
3-dehydroquinate synthase,Polaribacter sp. MED152,1,0.0
3-dehydroquinate synthase,Pseudomonas fluorescens Pf0-1,1,0.0
3-dehydroquinate synthase,Rhodobacter capsulatus SB 1003,1,0.0
3-dehydroquinate synthase,Rhodobacter sp. SW2,1,0.0
3-dehydroquinate synthase,Rhodopirellula baltica SH 1,1,0.0
3-dehydroquinate synthase,Synechococcus sp. RCC307,9,7.21
3-dehydroquinate synthase,Xylella fastidiosa 9a5c,1,0.0
3-demethylubiquinone-9 3-methyltransferase,Azoarcus sp. BH72,3,2.45
3-demethylubiquinone-9 3-methyltransferase,Bartonella henselae str. Houston-1,2,1.55
3-demethylubiquinone-9 3-methyltransferase,Burkholderia ambifaria AMMD,1,0.0
3-demethylubiquinone-9 3-methyltransferase,Loktanella vestfoldensis SKA53,2,1.55
3-demethylubiquinone-9 3-methyltransferase,Ralstonia pickettii 12J,1,0.0
3-deoxy-7-phosphoheptulonate synthase,Geobacter metallireducens GS-15,1,0.0
3-deoxy-7-phosphoheptulonate synthase,Granulibacter bethesdensis CGDNIH1,1,0.0
3-deoxy-7-phosphoheptulonate synthase,Psychroflexus torquis ATCC 700755,2,1.7
3-deoxy-7-phosphoheptulonate synthase,Rhodospirillum centenum SW,2,1.66
3-deoxy-7-phosphoheptulonate synthase,Sulfurimonas denitrificans DSM 1251,6,4.83
3-deoxy-D-manno- octulosonatecytidylyltransferase,Capnocytophaga ochracea DSM 7271,1,0.0
3-deoxy-D-manno-octulosonate cytidylyltransferase,Rhodomicrobium vannielii ATCC 17100,1,0.0
3-deoxy-D-manno-octulosonic acid 8-phosphate synthetase,Synechococcus sp. RS9917,4,3.36
3-deoxy-manno-octulosonate cytidylyltransferase,Geobacter metallireducens GS-15,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Pseudomonas aeruginosa UCBPP-PA14,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Psychrobacter sp. PRwf-1,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Ralstonia solanacearum CFBP2957,1,0.0
3-deoxy-manno-octulosonate cytidylyltransferase,Shewanella pealeana ATCC 700345,2,1.76
3-deoxy-manno-octulosonate cytidylyltransferase,Vibrio sp. Ex25,1,0.0
3-hydroxy-acyl-CoA dehydrogenase,Ralstonia solanacearum GMI1000,1,0.0
3-hydroxyacyl-CoA dehydrogenas,Marinobacter algicola DG893,1,0.0
3-hydroxyacyl-CoA dehydrogenas,Nitrobacter hamburgensis X14,1,0.0
3-hydroxyacyl-CoA dehydrogenas,Octadecabacter antarcticus 307,2,1.68
3-hydroxyacyl-CoA dehydrogenas,Rhodopseudomonas palustris BisB5,6,4.88
3-hydroxyacyl-CoA dehydrogenase,Burkholderia sp. CCGE1003,1,0.0
3-hydroxyacyl-CoA dehydrogenase,Citreicella sp. SE45,4,3.26
3-hydroxyacyl-CoA dehydrogenase,gamma proteobacterium HdN1,7,5.67
3-hydroxyacyl-CoA dehydrogenase NAD-binding,Desulfococcus oleovorans Hxd3,1,0.0
3-hydroxyacyl-CoA dehydrogenase NAD-binding,Shewanella woodyi ATCC 51908,1,0.0
3-hydroxyacyl-CoA dehydrogenase NAD-binding protein,Spirosoma linguale DSM 74,2,1.69
3-hydroxyacyl-CoA dehydrogenase NAD-binding protein,Stackebrandtia nassauensis DSM 44728,1,0.0
3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase/carnithine racemase fusion,Maribacter sp. HTCC2170,25,20.34
3-hydroxyacyl-CoA dehydrogenase oxidoreductase protein,Janthinobacterium sp. Marseille,1,0.0
3-hydroxybutyrate dehydrogenase,Burkholderia ambifaria AMMD,2,1.59
3-hydroxybutyrate dehydrogenase,Rhodobacter sphaeroides ATCC 17029,1,0.0
3-hydroxybutyrate dehydrogenase,Streptomyces violaceusniger Tu 4113,1,0.0
3-hydroxybutyryl-CoA dehydrogenase,Dokdonia donghaensis MED134,4,3.35
3-hydroxybutyryl-CoA dehydrogenase,Kordia algicida OT-1,2,1.68
3-hydroxybutyryl-CoA dehydrogenase,Maribacter sp. HTCC2170,3,2.49
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Chelativorans sp. BNC1,3,2.49
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Citrobacter koseri ATCC BAA-895,15,12.35
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Comamonas testosteroni S44,1,0.0
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Oligotropha carboxidovorans OM5,15,12.24
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Teredinibacter turnerae T7901,4,3.36
3-hydroxydecanoyl-ACP dehydratase,Neptuniibacter caesariensis,3,2.6
3-hydroxyisobutyrate dehydrogenase,Acidovorax citrulli AAC00-1,1,0.0
3-hydroxyisobutyrate dehydrogenase,Ahrensia sp. R2A130,3,2.41
3-hydroxyisobutyrate dehydrogenase family protein,Ruegeria sp. R11,1,0.0
3-hydroxyisobutyrate dehydrogenase family protein,Thalassiobium sp. R2A62,7,5.82
3-hydroxyisobutyryl coenzyme A hydrolase,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,2,1.57
3-isopropylmalate dehydratas,Flavobacterium johnsoniae UW101,12,9.83
3-isopropylmalate dehydratas,Streptomyces sviceus ATCC 29083,1,0.0
3-isopropylmalate dehydratase large subunit,Bacillus selenitireducens MLS10,1,0.0
3-isopropylmalate dehydratase large subunit,Mobiluncus curtisii subsp. curtisii ATCC 35241,1,0.0
3-isopropylmalate dehydratase large subunit,Paenibacillus polymyxa SC2,1,0.0
3-isopropylmalate dehydratase small subunit,Azorhizobium caulinodans ORS 571,3,2.56
3-isopropylmalate dehydratase small subunit,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,1,0.0
3-isopropylmalate dehydratase small subunit,Candidatus Puniceispirillum marinum IMCC1322,8,6.42
3-isopropylmalate dehydratase small subunit,Dokdonia donghaensis MED134,1,0.0
3-isopropylmalate dehydratase small subunit,Ralstonia eutropha H16,5,4.17
3-isopropylmalate dehydrogenase,Campylobacter jejuni RM1221,2,1.63
3-isopropylmalate dehydrogenase,Escherichia coli O157:H7 str. EC4401,1,0.0
3-isopropylmalate dehydrogenase,Nitrosococcus halophilus Nc4,1,0.0
3-isopropylmalate dehydrogenase,Oceanicola batsensis HTCC2597,3,2.51
3-isopropylmalate dehydrogenase,Prochlorococcus marinus str. MIT 9313,1,0.0
3-isopropylmalate dehydrogenase,Sphingomonas wittichii RW1,1,0.0
3-isopropylmalate dehydrogenase,Synechococcus sp. WH 7805,3,2.47
3-keto-L-gulonate-6-phosphate decarboxylase,Shigella flexneri 5 str. 8401,1,0.0
3-ketoacyl-(acyl-carrier-protein) reductase,Dinoroseobacter shibae DFL 12,8,6.78
3-ketoacyl-(acyl-carrier-protein) reductase,Mycobacterium avium 104,1,0.0
3-ketoacyl-(acyl-carrier-protein) reductase,Polaromonas sp. JS666,1,0.0
3-ketoacyl-(acyl-carrier-protein) reductase,Pseudomonas aeruginosa UCBPP-PA14,1,0.0
3-ketoacyl-(acyl-carrier-protein) reductase,Synechocystis sp. PCC 6803,6,4.85
3-ketoacyl-CoA thiolase,Gramella forsetii KT0803,14,11.3
3-ketoacyl-CoA thiolase,Perkinsus marinus ATCC 50983,1,0.0
3-mercaptopyruvate sulfurtransferase,Escherichia coli B171,1,0.0
3-mercaptopyruvate sulfurtransferase,Vibrio fischeri ES114,2,1.7
3-methyl-2-oxobutanoate hydroxymethyltransferase,Aquifex aeolicus VF5,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Bdellovibrio bacteriovorus HD100,1,0.0
3-methyl-2-oxobutanoate hydroxymethyltransferase,Clostridium difficile NAP08,4,3.25
3-methyl-2-oxobutanoate hydroxymethyltransferase,Flavobacterium johnsoniae UW101,27,21.93
3-methyl-2-oxobutanoate hydroxymethyltransferase,Flavobacterium psychrophilum JIP02/86,7,5.9
3-methyl-2-oxobutanoate hydroxymethyltransferase,Marinobacter aquaeolei VT8,4,3.27
3-methyl-2-oxobutanoate hydroxymethyltransferase,Mesorhizobium loti MAFF303099,2,1.67
3-methyl-2-oxobutanoate hydroxymethyltransferase,Oceanicola granulosus HTCC2516,2,1.72
3-methyl-2-oxobutanoate hydroxymethyltransferase,Rhodopseudomonas palustris HaA2,2,1.73
3-methyl-2-oxobutanoate hydroxymethyltransferase,Synechococcus sp. WH 8109,16,12.82
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,Ralstonia eutropha H16,1,0.0
3-methylcrotonoyl-CoA carboxylas,Shewanella sp. ANA-3,1,0.0
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Alcanivorax borkumensis SK2,3,2.5
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Blastopirellula marina DSM 3645,1,0.0
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Burkholderia multivorans ATCC 17616,4,3.18
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Cronobacter sakazakii ATCC BAA-894,1,0.0
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Pseudomonas syringae pv. tomato str. DC3000,6,4.78
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Sinorhizobium fredii NGR234,1,0.0
3-oxoacid CoA-transferas,Rhodobacter sphaeroides ATCC 17025,6,4.92
3-oxoacid CoA-transferas,Shewanella loihica PV-4,2,1.55
3-oxoacid CoA-transferase subunit A,Marinomonas sp. MWYL1,1,0.0
3-oxoacid CoA-transferase subunit A,Robiginitalea biformata HTCC2501,6,4.76
3-oxoacyl-(acyl carrier protein) synthase,Marinobacter sp. ELB17,2,1.75
3-oxoacyl-(acyl carrier protein) synthase,Moritella sp. PE36,1,0.0
3-oxoacyl-(acyl carrier protein) synthase,marine gamma proteobacterium HTCC2080,10,8.4
3-oxoacyl-(acyl carrier protein) synthase I,Haemophilus ducreyi 35000HP,5,4.19
3-oxoacyl-(acyl carrier protein) synthase II,Chromobacterium violaceum ATCC 12472,1,0.0
3-oxoacyl-(acyl carrier protein) synthase II,Escherichia coli UTI89,1,0.0
3-oxoacyl-(acyl carrier protein) synthase II,Methylobacterium nodulans ORS 2060,1,0.0
3-oxoacyl-(acyl carrier protein) synthase II,Nitrobacter winogradskyi Nb-255,1,0.0
3-oxoacyl-(acyl carrier protein) synthase II,Rhizobium leguminosarum bv. viciae 3841,1,0.0
3-oxoacyl-(acyl carrier protein) synthase III,Aeromonas salmonicida subsp. salmonicida A449,2,1.57
3-oxoacyl-(acyl carrier protein) synthase III,Chlorobium luteolum DSM 273,1,0.0
3-oxoacyl-(acyl carrier protein) synthase III,Rhodoferax ferrireducens T118,2,1.66
3-oxoacyl-(acyl carrier protein) synthase III,Salinibacter ruber DSM 13855,2,1.62
