gene function,organism,counts,oualidia_1_counts
2-ketoisovalerate ferredoxin reductase,Parabacteroides distasonis ATCC 8503,1,1
2-methylcitrate dehydratase,beta proteobacterium KB13,5,5
2-methylcitrate synthase/citrate synthase II,Burkholderia sp. CCGE1002,2,2
2-methylcitrate synthase/citrate synthase II,Methylotenera sp. 301,1,1
2-methylisocitrate dehydratas,Acinetobacter junii SH205,7,7
2-methylisocitratelyase 2,Bdellovibrio bacteriovorus HD100,1,1
2-methylthioadenine synthetase,Candidatus Puniceispirillum marinum IMCC1322,4,4
2-nitropropane dioxygenas,Gluconacetobacter hansenii ATCC 23769,1,1
2-nitropropane dioxygenase,Dokdonia donghaensis MED134,2,2
2-nitropropane dioxygenase NPD,Comamonas testosteroni KF-1,1,1
2-nitropropane dioxygenase NPD,Parvibaculum lavamentivorans DS-1,1,1
2-nitropropane dioxygenase NPD,Pseudomonas putida W619,1,1
2-octaprenyl-6-methoxyphenyl hydroxylase,Neptuniibacter caesariensis,1,1
2-oxo acid dehydrogenases acyltransferase (catalytic domain) protein,Synechococcus sp. PCC 7335,1,1
2-oxo-acid dehydrogenase E1 subuni,Alicycliphilus denitrificans BC,1,1
2-oxo-acid dehydrogenase E1 subuni,Pirellula staleyi DSM 6068,1,1
2-oxoglutarate decarboxylase,Actinomyces urogenitalis DSM 15434,1,1
2-oxoglutarate decarboxylase,marine actinobacterium PHSC20C1,1,1
2-oxoglutarate dehydrogenas,Acidiphilium cryptum JF-5,6,6
2-oxoglutarate dehydrogenas,Croceibacter atlanticus HTCC2559,3,3
2-oxoglutarate dehydrogenas,Loktanella vestfoldensis SKA53,2,2
2-oxoglutarate dehydrogenas,Mesorhizobium opportunistum WSM2075,1,1
2-oxoglutarate dehydrogenas,Nitrococcus mobilis Nb-231,1,1
2-oxoglutarate dehydrogenas,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111,5,5
2-oxoglutarate dehydrogenas,Pelagibaca bermudensis HTCC2601,1,1
2-oxoglutarate dehydrogenas,Pseudomonas syringae pv. tomato str. DC3000,1,1
2-oxoglutarate dehydrogenase E1 component,Brucella suis bv. 4 str. 40,18,18
2-oxoglutarate dehydrogenase E1 component,Mesorhizobium loti MAFF303099,2,2
2-oxoglutarate dehydrogenase E1 component,Pelobacter carbinolicus DSM 2380,1,1
2-oxoglutarate dehydrogenase E1 component,Photobacterium damselae subsp. damselae CIP 102761,1,1
2-oxoglutarate dehydrogenase E1 component,Rhodobacter sphaeroides ATCC 17025,5,5
2-oxoglutarate dehydrogenase E1 component,Xanthobacter autotrophicus Py2,3,3
2-oxoglutarate dehydrogenase E2 component,Chromohalobacter salexigens DSM 3043,1,1
2-oxoglutarate dehydrogenase comple,Flavobacteria bacterium BBFL7,1,1
2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,1,1
2-oxoglutarate ferredoxin oxidoreductase subunit beta,Mycobacterium parascrofulaceum ATCC BAA-614,1,1
2-oxoglutarate synthase subunit KorA,Campylobacterales bacterium GD 1,1,1
2-oxoisovalerate dehydrogenase E2 componen,Algoriphagus sp. PR1,2,2
2-oxoisovalerate dehydrogenase beta subuni,Tetrahymena thermophila,1,1
2-oxoisovalerate dehydrogenase beta subunit,Parabacteroides distasonis ATCC 8503,1,1
2-polyprenyl-3-methyl-6-methoxy-,Ralstonia solanacearum UW551,1,1
2-polyprenyl-6-methoxyphenol 4-hydroxylase,marine gamma proteobacterium HTCC2148,2,2
2-polyprenyl-6-methoxyphenol hydroxylase,Acinetobacter johnsonii SH046,1,1
2-pyrone-,Reinekea blandensis MED297,1,1
23S rRNA (Uracil-5-)-methyltransferase rumA,Oceanicola batsensis HTCC2597,1,1
23S rRNA (uracil-5-)-methyltransferase RumA,Escherichia albertii TW07627,1,1
23S rRNA (uracil-5-)-methyltransferase RumA,Prevotella sp. oral taxon 299 str. F0039,1,1
23S rRNA m(5)u-1939 methyltransferase,Paludibacter propionicigenes WB4,1,1
23S rRNA methylase,Erythrobacter sp. NAP1,1,1
23S rRNA methyltransferase J,Shewanella sediminis HAW-EB3,1,1
23S rRNA methyltransferase/RumA,marine actinobacterium PHSC20C1,2,2
23S rRNA pseudouridylate synthase C,Enterobacter cloacae subsp. cloacae ATCC 13047,1,1
23S rRNA pseudouridylate synthase C,Mannheimia succiniciproducens MBEL55E,3,3
26S protease regulatory subunit 8,Dictyostelium discoideum AX4,2,2
26S proteasome non-ATPase regulatory subunit 3,Homo sapiens,1,1
26S proteasome regulatory comple,Physcomitrella patens subsp. patens,1,1
26S proteasome regulatory particle chain rpt6-like protein,Thalassiosira pseudonana CCMP1335,1,1
26S proteasome subunit,Thalassiosira pseudonana CCMP1335,1,1
27kDa outer membrane protein,Rhodobacterales bacterium HTCC2255,1,1
28S ribosomal RNA,Basidiobolus ranarum,7,7
28S ribosomal RNA,Paxillus vernalis,1,1
28S ribosomal RNA,Polychytrium aggregatum,6,6
2Fe-2S ferredoxin,Gramella forsetii KT0803,2,2
2Fe-2S iron-sulfur cluster binding domain-containing protein,Nocardioides sp. JS614,1,1
2OG-Fe(II) oxygenase,Prochlorococcus phage P-SSM2,3,3
2OG-Fe(II) oxygenase family oxidoreductase,Colwellia psychrerythraea 34H,1,1
2OG-Fe(II) oxygenase superfamily protein,Azotobacter vinelandii DJ,1,1
2OG-Fe(II) oxygenase superfamily protein,gamma proteobacterium NOR51-B,2,2
3''(2'',Candidatus Puniceispirillum marinum IMCC1322,2,2
3''(2'',Gallionella capsiferriformans ES-2,2,2
3''(2'',Shewanella pealeana ATCC 700345,2,2
3''-5'' exonuclease family protein,alpha proteobacterium HIMB114,4,4
3(2,Candidatus Pelagibacter sp. HTCC7211,7,7
3(2,Marinobacter algicola DG893,1,1
3-beta hydroxysteroid dehydrogenase/isomerase,Anabaena variabilis ATCC 29413,1,1
3-beta hydroxysteroid dehydrogenase/isomerase,Geobacter uraniireducens Rf4,1,1
3-dehydroquinate dehydratas,Pedobacter heparinus DSM 2366,1,1
3-dehydroquinate dehydratase,Candidatus Pelagibacter ubique HTCC1062,6,6
3-dehydroquinate dehydratase,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,2,2
3-dehydroquinate dehydratase,Gardnerella vaginalis ATCC 14019,2,2
3-dehydroquinate dehydratase,Paludibacter propionicigenes WB4,1,1
3-dehydroquinate dehydratase,Polaribacter sp. MED152,1,1
3-dehydroquinate synthase,Colwellia psychrerythraea 34H,1,1
3-dehydroquinate synthase,Coxiella burnetii RSA 493,3,3
3-dehydroquinate synthase,Nostoc sp. PCC 7120,2,2
3-dehydroquinate synthase,Pseudomonas putida F1,1,1
3-dehydroquinate synthase,Shewanella sp. ANA-3,1,1
3-dehydroquinate synthase,Streptococcus pyogenes MGAS315,1,1
3-dehydroquinate synthase,Streptomyces roseosporus NRRL 15998,2,2
3-dehydroquinate synthase,Trichodesmium erythraeum IMS101,1,1
3-dehydroquinate synthase,Zymomonas mobilis subsp. mobilis ZM4,1,1
3-dehydroquinate synthetase,Erythrobacter sp. NAP1,1,1
3-demethylubiquinone-9 3-methyltransferase,Bartonella henselae str. Houston-1,2,2
3-demethylubiquinone-9 3-methyltransferase,Rhodobacterales bacterium HTCC2255,2,2
3-demethylubiquinone-9 3-methyltransferase,Xanthomonas campestris pv. campestris str. ATCC 33913,1,1
3-deoxy-7-phosphoheptulonate synthase,Geobacter metallireducens GS-15,1,1
3-deoxy-7-phosphoheptulonate synthase,Rhodospirillum centenum SW,3,3
3-deoxy-7-phosphoheptulonate synthase,Vibrio sp. MED222,1,1
3-deoxy-8-phosphooctulonate synthase,Acinetobacter calcoaceticus RUH2202,1,1
3-deoxy-8-phosphooctulonate synthase,Lactobacillus brevis subsp. gravesensis ATCC 27305,1,1
3-deoxy-D-manno-octulosonate 8-phosphate phosphatas,Flavobacteria bacterium MS024-3C,4,4
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,Alteromonas macleodii ATCC 27126,1,1
3-deoxy-D-manno-octulosonate cytidylyltransferase,Candidatus Pelagibacter sp. HTCC7211,9,9
3-deoxy-D-manno-octulosonate cytidylyltransferase,Halorhodospira halophila SL1,1,1
3-deoxy-D-manno-octulosonate cytidylyltransferase,Thermosinus carboxydivorans Nor1,1,1
3-deoxy-D-manno-octulosonic-acid transferase,gamma proteobacterium HTCC2207,1,1
3-deoxy-manno-octulosonate cytidylyltransferase,Rhodopseudomonas palustris BisB5,1,1
3-deoxy-manno-octulosonate cytidylyltransferase,Shewanella pealeana ATCC 700345,1,1
3-hydroxy-3-methylglutaryl-coenzyme A reductase,Mus musculus,1,1
3-hydroxy-acyl-CoA dehydrogenase,Ralstonia solanacearum GMI1000,1,1
3-hydroxyacyl-CoA dehydrogenas,Marinobacter algicola DG893,1,1
3-hydroxyacyl-CoA dehydrogenas,Nitrobacter hamburgensis X14,1,1
3-hydroxyacyl-CoA dehydrogenas,Rhodopseudomonas palustris BisB5,1,1
3-hydroxyacyl-CoA dehydrogenase,Acidovorax sp. JS42,1,1
3-hydroxyacyl-CoA dehydrogenase,Burkholderia sp. 383,1,1
3-hydroxyacyl-CoA dehydrogenase,Methylibium petroleiphilum PM1,1,1
3-hydroxyacyl-CoA dehydrogenase,gamma proteobacterium HdN1,1,1
3-hydroxyacyl-CoA dehydrogenase FadB2x,Pseudomonas entomophila L48,1,1
3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase/carnithine racemase fusion,Maribacter sp. HTCC2170,9,9
3-hydroxyacyl-CoA dehydrogenase nad-binding protein,Micromonospora sp. L5,1,1
3-hydroxyacyl-CoA dehydrogenase type II,gamma proteobacterium HdN1,3,3
3-hydroxyanthranilate,Flavobacteria bacterium BBFL7,1,1
3-hydroxybutyrate dehydrogenase,Pseudomonas stutzeri A1501,6,6
3-hydroxybutyrate dehydrogenase type 2,Roseobacter sp. GAI101,1,1
3-hydroxybutyryl-CoA dehydratase,Clostridium botulinum A str. ATCC 19397,1,1
3-hydroxybutyryl-CoA dehydrogenase,Bradyrhizobium japonicum USDA 110,1,1
3-hydroxybutyryl-CoA dehydrogenase,Bradyrhizobium sp. BTAi1,1,1
3-hydroxybutyryl-CoA dehydrogenase,Clostridium botulinum D str. 1873,1,1
3-hydroxybutyryl-CoA dehydrogenase,Dokdonia donghaensis MED134,1,1
3-hydroxybutyryl-CoA dehydrogenase,Maribacter sp. HTCC2170,2,2
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Caulobacter crescentus CB15,3,3
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Erythrobacter litoralis HTCC2594,1,1
3-hydroxydecanoyl-(acyl carrier protein) dehydratase,Vibrio cholerae O1 biovar El Tor str. N16961,1,1
3-hydroxydecanoyl-ACP dehydratase,Neptuniibacter caesariensis,1,1
3-hydroxyisobutyrate dehydrogenase,Candidatus Pelagibacter sp. HTCC7211,30,30
3-hydroxyisobutyrate dehydrogenase,Marinomonas sp. MWYL1,2,2
3-hydroxyisobutyrate dehydrogenase,Pseudoalteromonas atlantica T6c,1,1
3-hydroxyisobutyrate dehydrogenase,Pseudomonas aeruginosa PAO1,1,1
3-hydroxyisobutyrate dehydrogenase family protein,Ruegeria pomeroyi DSS-3,2,2
3-hydroxyisobutyrate dehydrogenase precursor,Rattus norvegicus,1,1
3-isopropylmalate dehydratas,Flavobacterium johnsoniae UW101,1,1
3-isopropylmalate dehydratas,Hoeflea phototrophica DFL-43,4,4
3-isopropylmalate dehydratas,Marivirga tractuosa DSM 4126,1,1
3-isopropylmalate dehydratas,Paenibacillus sp. Y412MC10,1,1
3-isopropylmalate dehydratas,Rhodobacteraceae bacterium HTCC2083,1,1
3-isopropylmalate dehydratase large subunit,Bacillus selenitireducens MLS10,1,1
3-isopropylmalate dehydratase large subunit,Xylanimonas cellulosilytica DSM 15894,1,1
3-isopropylmalate dehydratase small subunit,Brevibacterium mcbrellneri ATCC 49030,1,1
3-isopropylmalate dehydratase small subunit,Candidatus Puniceispirillum marinum IMCC1322,1,1
3-isopropylmalate dehydratase small subunit,Congregibacter litoralis KT71,1,1
3-isopropylmalate dehydratase small subunit,Gramella forsetii KT0803,1,1
3-isopropylmalate dehydratase small subunit,Truepera radiovictrix DSM 17093,3,3
3-isopropylmalate dehydrogenas,Arabidopsis thaliana,2,2
3-isopropylmalate dehydrogenase,Geobacter bemidjiensis Bem,1,1
3-isopropylmalate dehydrogenase,Oceanicola batsensis HTCC2597,1,1
3-isopropylmalate dehydrogenase,Shigella sonnei Ss046,1,1
3-isopropylmalate dehydrogenase,Streptomyces avermitilis MA-4680,3,3
3-isopropylmalate dehydrogenase oxidoreductase protein,Rhizobium etli IE4771,1,1
3-ketoacyl-(acyl-carrier-protein) reductase,Dinoroseobacter shibae DFL 12,2,2
3-ketoacyl-(acyl-carrier-protein) reductase,Enterobacter sp. 638,2,2
3-ketoacyl-(acyl-carrier-protein) reductase,Pseudomonas syringae pv. syringae FF5,1,1
3-ketoacyl-CoA thiolase,Campylobacterales bacterium GD 1,1,1
3-ketoacyl-CoA thiolase,Halobacterium sp. NRC-1,1,1
3-mercaptopyruvate sulfurtransferase,Rhodopseudomonas palustris BisA53,2,2
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring),Hirschia baltica ATCC 49814,1,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,Campylobacter curvus 525.92,2,2
3-methyl-2-oxobutanoate hydroxymethyltransferase,Caulobacter crescentus CB15,1,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,Flavobacterium johnsoniae UW101,6,6
3-methyl-2-oxobutanoate hydroxymethyltransferase,Marinobacter aquaeolei VT8,1,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,Rhizobium leguminosarum bv. trifolii WSM2304,2,2
3-methyl-2-oxobutanoate hydroxymethyltransferase,Rhodopseudomonas palustris HaA2,1,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,Shewanella amazonensis SB2B,1,1
3-methyl-2-oxobutanoate hydroxymethyltransferase,Thermobifida fusca YX,1,1
3-methyl-2-oxobutanoatehydroxymethyltransferase,Gordonia bronchialis DSM 43247,1,1
3-methyl-adenine DNA glycosylase I,Pseudoalteromonas haloplanktis TAC125,1,1
3-methylcrotonyl-CoA carboxylase,Chlamydomonas reinhardtii,1,1
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Alcanivorax borkumensis SK2,2,2
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Cronobacter sakazakii ATCC BAA-894,1,1
3-octaprenyl-4-hydroxybenzoate carboxy-lyase family protein,Desulfovibrio desulfuricans subsp. desulfuricans str. G20,1,1
3-octaprenyl-4-hydroxybenzoate decarboxylase,Erwinia tasmaniensis Et1/99,1,1
3-octaprenyl-4-hydroxybenzoate decarboxylase,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,1,1
3-oxoacid CoA-transferas,Xanthobacter autotrophicus Py2,1,1
3-oxoacid CoA-transferase subunit A,Robiginitalea biformata HTCC2501,3,3
3-oxoacyl-(acyl carrier protein) synthase,Plesiocystis pacifica SIR-1,1,1
3-oxoacyl-(acyl carrier protein) synthase II,Jannaschia sp. CCS1,3,3
3-oxoacyl-(acyl carrier protein) synthase II,Salmonella enterica subsp. enterica serovar Typhi str. CT18,1,1
3-oxoacyl-(acyl carrier protein) synthase III,Bacillus clausii KSM-K16,1,1
3-oxoacyl-(acyl carrier protein) synthase III,Chlorobium phaeovibrioides DSM 265,1,1
3-oxoacyl-(acyl carrier protein) synthase III,Methylobacillus flagellatus KT,1,1
3-oxoacyl-(acyl carrier protein) synthase III,Pseudomonas fluorescens SBW25,1,1
3-oxoacyl-(acyl-carrier protein) reductase,Maritimibacter alkaliphilus HTCC2654,1,1
3-oxoacyl-(acyl-carrier-protein) reductase,Chlorobium luteolum DSM 273,1,1
3-oxoacyl-(acyl-carrier-protein) reductase FabG1,Butyrivibrio proteoclasticus B316,1,1
3-oxoacyl-(acyl-carrier-protein) synthase,Loktanella vestfoldensis SKA53,2,2
3-oxoacyl-(acyl-carrier-protein) synthase 1,alpha proteobacterium HIMB114,38,38
3-oxoacyl-(acyl-carrier-protein) synthase I,gamma proteobacterium NOR51-B,1,1
3-oxoacyl-(acyl-carrier-protein) synthase II,Pseudomonas syringae pv. tomato str. DC3000,1,1
3-oxoacyl-(acyl-carrier-protein) synthase III,Flavobacteria bacterium MS024-3C,3,3
3-oxoacyl-(acyl-carrier-protein) synthase III,Methylophaga thiooxidans DMS010,1,1
3-oxoacyl-(acyl-carrier-protein) synthase III,Nostoc punctiforme PCC 73102,1,1
3-oxoacyl-(acyl-carrier-protein) synthase III,Pedobacter heparinus DSM 2366,1,1
3-oxoacyl-(acyl-carrier-protein) synthase III,Roseobacter sp. MED193,1,1
3-oxoacyl-(acyl-carrier-protein) synthase III,Ruegeria sp. R11,1,1
3-oxoacyl-[acyl-carrier-protein,Aeromonas hydrophila subsp. hydrophila ATCC 7966,1,1
3-oxoacyl-[acyl-carrier-protein,Blastopirellula marina DSM 3645,3,3
3-oxoacyl-[acyl-carrier-protein,Brevibacterium mcbrellneri ATCC 49030,2,2
3-oxoacyl-[acyl-carrier-protein,Chromohalobacter salexigens DSM 3043,1,1
3-oxoacyl-[acyl-carrier-protein,Dechloromonas aromatica RCB,1,1
3-oxoacyl-[acyl-carrier-protein,Fusobacterium nucleatum subsp. nucleatum ATCC 23726,1,1
